id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
P07-2027,0.0,0.0,0.0,proceedings of the acl 2007 demo and poster sessions,45th annual meeting of the association for computational linguistics companion volume proceedings of the demo and poster sessions,45th annual meeting of the association for computational linguistics companion volume proceedings of the demo and poster sessions,proceedings of the acl 2007 demo and poster sessions
P13-1038,0.0,0.0,0.0,proceedings of the 51st annual meeting of the association for computational linguistics,acl,acl,proceedings of the 51st annual meeting of the association for computational linguistics
C10-2078,0.0,0.0,0.0,coling 2010: poster volume,coling - posters,coling - posters,coling 2010: poster volume
P08-2032,0.0,0.0,0.0,proceedings of acl-08: hlt, short papers (companion volume),annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,proceedings of acl-08: hlt, short papers (companion volume)
J13-1007,0.0,0.0,0.0,treebanks: building and using parsed corpora,cl,cl,treebanks: building and using parsed corpora
W11-2153,0.0,0.0,0.0,proceedings of the 6th workshop on statistical machine translation,proceedings of the sixth workshop on statistical machine translation,proceedings of the sixth workshop on statistical machine translation,proceedings of the 6th workshop on statistical machine translation
D08-1047,0.0,0.0,0.0,proceedings of the 2008 conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,proceedings of the 2008 conference on empirical methods in natural language processing
P04-1039,-1,0.0,-1,,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,
J03-3004,0.0,0.0,0.0,proceedings of the third international conference on language resources and evaluation (lrec),computational linguistics,computational linguistics,proceedings of the third international conference on language resources and evaluation (lrec)
C10-2109,0.0,0.0,0.0,gale book,coling - posters,coling - posters,gale book
N12-1038,0.0,0.0,0.0,2012 conference of the north american chapter of the association for computational linguistics: human language technologies,naacl,naacl,2012 conference of the north american chapter of the association for computational linguistics: human language technologies
P06-1091,0.0,0.0,0.0,proceedings of the 21st international conference on computational linguistics and 44th annual meeting of the acl,international conference on computational linguistics and annual meeting of the association for computational linguistics,international conference on computational linguistics and annual meeting of the association for computational linguistics,proceedings of the 21st international conference on computational linguistics and 44th annual meeting of the acl
W00-1006,0.0,0.0,0.0,reference to abstract ob- jects in discourse,sigdial workshop on discourse and dialogue,sigdial workshop on discourse and dialogue,reference to abstract ob- jects in discourse
W97-1409,0.0,0.0,0.0,proc. of the i0 th hcai,workshop on referring phenomena in a multimedia context and their computational treatment,workshop on referring phenomena in a multimedia context and their computational treatment,proc. of the i0 th hcai
W02-1906,0.0,0.0,0.0,references [1],workshop on multilingual summarization and question answering,workshop on multilingual summarization and question answering,references [1]
D07-1063,0.0,0.0,0.0,proceedings of the 2007 joint conference on empirical methods in natural language processing and computational natural language learning,2007 joint conference on empirical methods in natural language processing and computational natural language learning (emnlp-conll),2007 joint conference on empirical methods in natural language processing and computational natural language learning (emnlp-conll),proceedings of the 2007 joint conference on empirical methods in natural language processing and computational natural language learning
P08-1035,0.0,0.0,0.0,proceedings of acl-08: hlt,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,proceedings of acl-08: hlt
S10-1097,0.0,0.0,0.0,proceedings of the 5th international workshop on semantic evaluation, acl 2010,workshop on semantic evaluations (semeval),workshop on semantic evaluations (semeval),proceedings of the 5th international workshop on semantic evaluation, acl 2010
P06-2041,0.0,0.0,0.0,proceedings of the coling/acl 2006 main conference poster sessions,international conference on computational linguistics and annual meeting of the association for computational linguistics - poster sessions,international conference on computational linguistics and annual meeting of the association for computational linguistics - poster sessions,proceedings of the coling/acl 2006 main conference poster sessions
C02-1066,0.0,0.0,0.0,the logic of typed fea- ture structures. cambridge tracts in theoretical computer science noam chomsky. 1975. remarks on nominaliza- tion the logic of grammar,international conference on computational linguistics,international conference on computational linguistics,the logic of typed fea- ture structures. cambridge tracts in theoretical computer science noam chomsky. 1975. remarks on nominaliza- tion the logic of grammar
E89-1007,0.0,0.0,0.0,texas linguistic forum,conference of the european association for computational linguistics,conference of the european association for computational linguistics,texas linguistic forum
W11-2037,0.0,0.0,0.0,proceedings of the sigdial 2011: the 12th annual meeting of the special interest group on discourse and dialogue,proceedings of the sigdial 2011 conference,proceedings of the sigdial 2011 conference,proceedings of the sigdial 2011: the 12th annual meeting of the special interest group on discourse and dialogue
P10-1050,0.0,0.0,0.0,proceedings of the 48th annual meeting of the association for computational linguistics,acl,acl,proceedings of the 48th annual meeting of the association for computational linguistics
W02-0708,0.0,0.0,0.0,machine translation: a view from the lexicon,workshop on speech-to-speech translation: algorithms and systems,workshop on speech-to-speech translation: algorithms and systems,machine translation: a view from the lexicon
P13-1083,0.0,0.0,0.0,proceedings of the 51st annual meeting of the association for computational linguistics,acl,acl,proceedings of the 51st annual meeting of the association for computational linguistics
N12-1077,0.0,0.0,0.0,2012 conference of the north american chapter of the association for computational linguistics: human language technologies,naacl,naacl,2012 conference of the north american chapter of the association for computational linguistics: human language technologies
W05-1202,0.0,0.0,0.0,proceedings of the acl workshop on empirical modeling of semantic equivalence and entailment,workshop on empirical modeling of semantic equivalence and entailment,workshop on empirical modeling of semantic equivalence and entailment,proceedings of the acl workshop on empirical modeling of semantic equivalence and entailment
W09-3415,0.0,0.0,0.0,acl and afnlp,proceedings of the 7th workshop on asian language resources (alr7),proceedings of the 7th workshop on asian language resources (alr7),acl and afnlp
H91-1021,0.0,0.0,0.0,peoceedings of the darpa speech and language workshop,workshop on speech and natural language,workshop on speech and natural language,peoceedings of the darpa speech and language workshop
P94-1003,0.0,0.0,0.0,reference to abstract objects in di- scourse,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,reference to abstract objects in di- scourse
W06-1515,0.0,0.0,0.0,proceedings of the 8th international workshop on tree adjoining grammar and related formalisms,international workshop on tree adjoining grammar and related formalisms,international workshop on tree adjoining grammar and related formalisms,proceedings of the 8th international workshop on tree adjoining grammar and related formalisms
C10-1050,0.0,0.0,0.0,proceedings of the 23rd international conference on computational linguistics,coling,coling,proceedings of the 23rd international conference on computational linguistics
P09-1025,0.0,0.0,0.0,proceedings of the 47th annual meeting of the acl and the 4th ijcnlp of the afnlp,acl-ijcnlp,acl-ijcnlp,proceedings of the 47th annual meeting of the acl and the 4th ijcnlp of the afnlp
P06-2125,0.0,0.0,0.0,proceedings of the coling/acl 2006 main conference poster sessions,international conference on computational linguistics and annual meeting of the association for computational linguistics - poster sessions,international conference on computational linguistics and annual meeting of the association for computational linguistics - poster sessions,proceedings of the coling/acl 2006 main conference poster sessions
L08-1554,0.0,0.0,0.0,references,lrec,lrec,references
W08-0125,0.0,0.0,0.0,proceedings of the 10th inter- national conference on human-computer interaction,proceedings of the 9th sigdial workshop on discourse and dialogue,proceedings of the 9th sigdial workshop on discourse and dialogue,proceedings of the 10th inter- national conference on human-computer interaction
W03-0418,0.0,0.0,0.0,constructing scripts from components: working note 6. unpublished manuscript,conference on computational natural language learning conll,conference on computational natural language learning conll,constructing scripts from components: working note 6. unpublished manuscript
I05-1049,0.0,0.0,0.0,light verb constuctions and extraction out of np in a tree adjoining grammar. papers of the 24th regional meeting of the chicago linguistics society,second international joint conference on natural language processing: full papers,second international joint conference on natural language processing: full papers,light verb constuctions and extraction out of np in a tree adjoining grammar. papers of the 24th regional meeting of the chicago linguistics society
C10-1034,0.0,0.0,0.0,proceedings of the 23rd international conference on computational linguistics,coling,coling,proceedings of the 23rd international conference on computational linguistics
W07-2062,0.0,0.0,0.0,proceedings of the 4th international workshop on semantic evaluations,fourth international workshop on semantic evaluations (semeval-2007),fourth international workshop on semantic evaluations (semeval-2007),proceedings of the 4th international workshop on semantic evaluations
L08-1229,0.0,0.0,0.0,references,lrec,lrec,references
D13-1035,0.0,0.0,0.0,proceedings of the 2013 conference on empirical methods in natural language processing,emnlp,emnlp,proceedings of the 2013 conference on empirical methods in natural language processing
W04-1313,0.0,0.0,0.0,models of word seg- mentation in fluent maternal speech to in- fants ed- itors, signal to syntax: bootstrapping from speech to grammar in early language ac- quisition,workshop on psycho-computational models of human language acquisition,workshop on psycho-computational models of human language acquisition,models of word seg- mentation in fluent maternal speech to in- fants ed- itors, signal to syntax: bootstrapping from speech to grammar in early language ac- quisition
W07-0720,0.0,0.0,0.0,proceedings of the second workshop on statistical machine translation,workshop on statistical machine translation,workshop on statistical machine translation,proceedings of the second workshop on statistical machine translation
P13-2013,0.0,0.0,0.0,proceedings of the 51st annual meeting of the association for computational linguistics,acl,acl,proceedings of the 51st annual meeting of the association for computational linguistics
W06-1627,0.0,0.0,0.0,proceedings of the 2006 conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,proceedings of the 2006 conference on empirical methods in natural language processing
W05-1302,0.0,0.0,0.0,proceedings of the acl-ismb workshop on linking biological literature, ontologies and databases: mining biological semantics,workshop on linking biological literature, ontologies and databases: mining biological semantics,workshop on linking biological literature, ontologies and databases: mining biological semantics,proceedings of the acl-ismb workshop on linking biological literature, ontologies and databases: mining biological semantics
W10-4332,0.0,0.0,0.0,proceedings of sigdial 2010: the 11th annual meeting of the special interest group on discourse and dialogue,proceedings of the sigdial 2010 conference,proceedings of the sigdial 2010 conference,proceedings of sigdial 2010: the 11th annual meeting of the special interest group on discourse and dialogue
W12-2402,0.0,0.0,0.0,proceedings of the 2012 workshop on biomedical natural language processing,bionlp: proceedings of the 2012 workshop on biomedical natural language processing,bionlp: proceedings of the 2012 workshop on biomedical natural language processing,proceedings of the 2012 workshop on biomedical natural language processing
W01-0714,0.0,0.0,0.0,the english noun phrase in its sen- tential aspect,workshop on computational natural language learning conll,workshop on computational natural language learning conll,the english noun phrase in its sen- tential aspect
L08-1159,0.0,0.0,0.0,references,lrec,lrec,references
W06-1521,0.0,0.0,0.0,proceedings of the 8th international workshop on tree adjoining grammar and related formalisms,international workshop on tree adjoining grammar and related formalisms,international workshop on tree adjoining grammar and related formalisms,proceedings of the 8th international workshop on tree adjoining grammar and related formalisms
W08-1605,0.0,0.0,0.0,coling 2008: proceedings of the workshop on knowledge and reasoning for answering questions,coling 2008: proceedings of the workshop on cross-framework and cross-domain parser evaluation,coling 2008: proceedings of the workshop on cross-framework and cross-domain parser evaluation,coling 2008: proceedings of the workshop on knowledge and reasoning for answering questions
C04-1196,0.0,0.0,0.0,cognitive science,international conference on computational linguistics,international conference on computational linguistics,cognitive science
P02-1064,0.0,0.0,0.0,10224 90,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,10224 90
D11-1048,0.0,0.0,0.0,proceedings of the 2011 conference on empirical methods in natural language processing,emnlp,emnlp,proceedings of the 2011 conference on empirical methods in natural language processing
W09-2506,0.0,0.0,0.0,acl and afnlp,proceedings of the 2009 workshop on applied textual inference (textinfer),proceedings of the 2009 workshop on applied textual inference (textinfer),acl and afnlp
C90-1019,0.0,0.0,0.0,references,international conference on computational linguistics,international conference on computational linguistics,references
S10-1050,0.0,0.0,0.0,proceedings of the 5th international workshop on semantic evaluation, acl 2010,workshop on semantic evaluations (semeval),workshop on semantic evaluations (semeval),proceedings of the 5th international workshop on semantic evaluation, acl 2010
W12-6209,1.0,1.0,1.0,,,proceedings of the 10th international workshop on finite state methods and natural language processing,proceedings of the 10th international workshop on finite state methods and natural language processing
H91-1028,0.0,0.0,0.0,proc. ieee,workshop on speech and natural language,workshop on speech and natural language,proc. ieee
W05-1517,0.0,0.0,0.0,proceedings of the ninth international workshop on parsing technologies (iwpt),international workshop on parsing technology,international workshop on parsing technology,proceedings of the ninth international workshop on parsing technologies (iwpt)
E95-1031,0.0,0.0,0.0,black etal. a procedure for quantitatively comparing the syntactic cover- age of english grammars. proceedings of fourth darpa speech and natural language work- shop proceedings of the 7th international joint con- ference on artificial intelligence proceedings of the 5th international joint con- ference on artificial intelligencekwasny and sondheimer marcus. building very large natural language corpora : the penn treebank mellish. some chart-based techniques for parsing ill-formed input. asso- ciation for computational linguistics lebowitz and l. brinbaum. an intergrated under- stander. american ?ournal of computational linguistics,conference of the european association for computational linguistics,conference of the european association for computational linguistics,black etal. a procedure for quantitatively comparing the syntactic cover- age of english grammars. proceedings of fourth darpa speech and natural language work- shop proceedings of the 7th international joint con- ference on artificial intelligence proceedings of the 5th international joint con- ference on artificial intelligencekwasny and sondheimer marcus. building very large natural language corpora : the penn treebank mellish. some chart-based techniques for parsing ill-formed input. asso- ciation for computational linguistics lebowitz and l. brinbaum. an intergrated under- stander. american ?ournal of computational linguistics
W07-1705,0.0,0.0,0.0,balto-slavonic natural language processing,workshop on balto-slavonic natural language processing,workshop on balto-slavonic natural language processing,balto-slavonic natural language processing
P03-2031,0.0,0.0,0.0,proceedings of the sixth work- shop on very large corpora,annual meeting of the association for computational linguistics - interactive posters and demonstrations,annual meeting of the association for computational linguistics - interactive posters and demonstrations,proceedings of the sixth work- shop on very large corpora
W10-2910,1.0,1.0,1.0,,,proceedings of the fourteenth conference on computational natural language learning,proceedings of the fourteenth conference on computational natural language learning
P13-2151,0.0,0.0,0.0,proceedings of the 51st annual meeting of the association for computational linguistics,acl,acl,proceedings of the 51st annual meeting of the association for computational linguistics
S12-1087,0.0,0.0,0.0,first joint conference on lexical and computational semantics (*sem),semeval,semeval,first joint conference on lexical and computational semantics (*sem)
W06-1504,0.0,0.0,0.0,proceedings of the 8th international workshop on tree adjoining grammar and related formalisms,international workshop on tree adjoining grammar and related formalisms,international workshop on tree adjoining grammar and related formalisms,proceedings of the 8th international workshop on tree adjoining grammar and related formalisms
W04-2113,0.0,0.0,0.0,bringing the dictionary to the user: the foks system,workshop on enhancing and using electronic dictionaries,workshop on enhancing and using electronic dictionaries,bringing the dictionary to the user: the foks system
P00-1065,0.0,0.0,0.0,proceedings of the coling-acl,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,proceedings of the coling-acl
W10-3105,1.0,1.0,1.0,,,proceedings of the workshop on negation and speculation in natural language processing,proceedings of the workshop on negation and speculation in natural language processing
P06-4016,0.0,0.0,0.0,proceedings of the coling/acl 2006 interactive presentation sessions,international conference on computational linguistics and annual meeting of the association for computational linguistics - interactive presentation sessions,international conference on computational linguistics and annual meeting of the association for computational linguistics - interactive presentation sessions,proceedings of the coling/acl 2006 interactive presentation sessions
P13-1134,0.0,0.0,0.0,proceedings of the 51st annual meeting of the association for computational linguistics,acl,acl,proceedings of the 51st annual meeting of the association for computational linguistics
W04-2807,-1,0.0,-1,,international workshop on scalable natural language understanding scanalu,international workshop on scalable natural language understanding scanalu,
W06-2911,0.0,0.0,0.0,proceedings of the 10th conference on computational natural language learning,conference on computational natural language learning conll,conference on computational natural language learning conll,proceedings of the 10th conference on computational natural language learning
H94-1068,0.0,0.0,0.0,acus- tica 73,human language technology conference,human language technology conference,acus- tica 73
W93-0114,0.0,0.0,0.0,the analysis and acouisition of proner names for robust text l~lgltdall~uilg,workshop on the acquisition of lexical knowledge from text,workshop on the acquisition of lexical knowledge from text,the analysis and acouisition of proner names for robust text l~lgltdall~uilg
P98-2151,0.0,0.0,0.0,natural language generation: new results in artificial intelligence, psychology, and linguistics,coling-acl,coling-acl,natural language generation: new results in artificial intelligence, psychology, and linguistics
N12-2006,0.0,0.0,0.0,proceedings of the naacl hlt 2012 student research workshop,naacl,naacl,proceedings of the naacl hlt 2012 student research workshop
W09-3953,0.0,0.0,0.0,proceedings of sigdial 2009: the 10th annual meeting of the special interest group in discourse and dialogue,proceedings of the sigdial 2009 conference,proceedings of the sigdial 2009 conference,proceedings of sigdial 2009: the 10th annual meeting of the special interest group in discourse and dialogue
L08-1502,-1,0.0,-1,,lrec,lrec,
C00-2098,0.0,0.0,0.0,palwing by chunkseds.) l'rinco~le-based pal;s'ing: computation and psycholillguistics,international conference on computational linguistics,international conference on computational linguistics,palwing by chunkseds.) l'rinco~le-based pal;s'ing: computation and psycholillguistics
P11-2061,0.0,0.0,0.0,proceedings of the 49th annual meeting of the association for computational linguistics:shortpapers,proceedings of the 49th annual meeting of the association for computational linguistics: human language technologies,proceedings of the 49th annual meeting of the association for computational linguistics: human language technologies,proceedings of the 49th annual meeting of the association for computational linguistics:shortpapers
W12-1620,0.0,0.0,0.0,proceedings of the 13th annual meeting of the special interest group on discourse and dialogue (sigdial),proceedings of the 13th annual meeting of the special interest group on discourse and dialogue,proceedings of the 13th annual meeting of the special interest group on discourse and dialogue,proceedings of the 13th annual meeting of the special interest group on discourse and dialogue (sigdial)
P12-2042,0.0,0.0,0.0,proceedings of the 50th annual meeting of the association for computational linguistics,acl,acl,proceedings of the 50th annual meeting of the association for computational linguistics
D10-1019,0.0,0.0,0.0,proceedings of the 2010 conference on empirical methods in natural language processing,emnlp,emnlp,proceedings of the 2010 conference on empirical methods in natural language processing
E93-1027,0.0,0.0,0.0,proc. of termplan '90 proc. of coling-92 proc. of coling-92 proc. of the 27th acl meeting proc. of coling-g2 proc. of coling-g2 proc. of 2nd fgnlp,conference of the european association for computational linguistics,conference of the european association for computational linguistics,proc. of termplan '90 proc. of coling-92 proc. of coling-92 proc. of the 27th acl meeting proc. of coling-g2 proc. of coling-g2 proc. of 2nd fgnlp
W08-0707,0.0,0.0,0.0,proceedings of the tenth meeting of the acl special interest group on computational morphology and phonology,proceedings of the tenth meeting of acl special interest group on computational morphology and phonology,proceedings of the tenth meeting of acl special interest group on computational morphology and phonology,proceedings of the tenth meeting of the acl special interest group on computational morphology and phonology
W97-0121,0.0,0.0,0.0,a maximum entropy approach to natural language processing in computationaz linguistics voi inducing features of random fields,workshop on very large corpora,workshop on very large corpora,a maximum entropy approach to natural language processing in computationaz linguistics voi inducing features of random fields
J07-4003,1.0,1.0,1.0,,,computational linguistics,computational linguistics
W05-0807,0.0,0.0,0.0,proceedings of the acl workshop on building and using parallel texts,workshop on building and using parallel texts,workshop on building and using parallel texts,proceedings of the acl workshop on building and using parallel texts
W04-2008,-1,0.0,-1,,workshop on robust methods in analysis of natural language data romand,workshop on robust methods in analysis of natural language data romand,
P06-1013,0.0,0.0,0.0,proceedings of the 21st international conference on computational linguistics and 44th annual meeting of the acl,international conference on computational linguistics and annual meeting of the association for computational linguistics,international conference on computational linguistics and annual meeting of the association for computational linguistics,proceedings of the 21st international conference on computational linguistics and 44th annual meeting of the acl
P01-1061,0.0,0.0,0.0,journal of logic and computation,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,journal of logic and computation
N13-2004,0.0,0.0,0.0,proceedings of the naacl hlt 2013 student research workshop,naacl,naacl,proceedings of the naacl hlt 2013 student research workshop
E12-2014,0.0,0.0,0.0,proceedings of the 13th conference of the european chapter of the association for computational linguistics,eacl,eacl,proceedings of the 13th conference of the european chapter of the association for computational linguistics
W08-0614,0.0,0.0,0.0,references,proceedings of the workshop on current trends in biomedical natural language processing,proceedings of the workshop on current trends in biomedical natural language processing,references
P12-1045,0.0,0.0,0.0,proceedings of the 50th annual meeting of the association for computational linguistics,acl,acl,proceedings of the 50th annual meeting of the association for computational linguistics
C08-1060,0.0,0.0,0.0,proceedings of the 22nd international conference on computational linguistics,international conference on computational linguistics,international conference on computational linguistics,proceedings of the 22nd international conference on computational linguistics
L08-1493,0.0,0.0,0.0,references,lrec,lrec,references
W10-3604,0.0,0.0,0.0,proceedings of the 1st workshop on south and southeast asian natural language processing (wssanlp), pages 26–34, the 23rd international conference on computational linguistics (coling),proceedings of the 1st workshop on south and southeast asian natural language processing,proceedings of the 1st workshop on south and southeast asian natural language processing,proceedings of the 1st workshop on south and southeast asian natural language processing (wssanlp), pages 26–34, the 23rd international conference on computational linguistics (coling)
W04-1310,0.0,0.0,0.0,neural networks for pattern recognition,workshop on psycho-computational models of human language acquisition,workshop on psycho-computational models of human language acquisition,neural networks for pattern recognition
P12-2003,0.0,0.0,0.0,proceedings of the 50th annual meeting of the association for computational linguistics,acl,acl,proceedings of the 50th annual meeting of the association for computational linguistics
L08-1113,0.0,0.0,0.0,references,lrec,lrec,references
W97-0314,-1,0.0,-1,,conference on empirical methods in natural language processing,conference on empirical methods in natural language processing,
L08-1474,0.0,0.0,0.0,references,lrec,lrec,references
P13-4022,0.0,0.0,0.0,proceedings of the 51st annual meeting of the association for computational linguistics,acl,acl,proceedings of the 51st annual meeting of the association for computational linguistics
P12-2024,0.0,0.0,0.0,proceedings of the 50th annual meeting of the association for computational linguistics,acl,acl,proceedings of the 50th annual meeting of the association for computational linguistics
W10-1826,0.0,0.0,0.0,proceedings of the fourth linguistic annotation workshop, acl 2010,proceedings of the fourth linguistic annotation workshop,proceedings of the fourth linguistic annotation workshop,proceedings of the fourth linguistic annotation workshop, acl 2010
P83-1006,0.0,0.0,0.0,i982. proceedings of aaai 82,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,i982. proceedings of aaai 82
W05-1008,0.0,0.0,0.0,proceedings of the acl-siglex workshop on deep lexical acquisition,siglex workshop on deep lexical acquisition,siglex workshop on deep lexical acquisition,proceedings of the acl-siglex workshop on deep lexical acquisition
P08-3004,0.0,0.0,0.0,proc. human language technology conference and empirical methods in natural language processing,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,proc. human language technology conference and empirical methods in natural language processing
H01-1038,0.0,0.0,0.0,information retrieval,human language technology conference,human language technology conference,information retrieval
S13-2009,0.0,0.0,0.0,second joint conference on lexical and computational semantics (*sem),*sem,*sem,second joint conference on lexical and computational semantics (*sem)
P03-1010,0.0,0.0,0.0,anlp-92,annual meeting of the association for computational linguistics,annual meeting of the association for computational linguistics,anlp-92
S13-2087,0.0,0.0,0.0,second joint conference on lexical and computational semantics (*sem),*sem,*sem,second joint conference on lexical and computational semantics (*sem)
W07-1409,0.0,0.0,0.0,proceedings of the workshop on textual entailment and paraphrasing,acl-pascal workshop on textual entailment and paraphrasing,acl-pascal workshop on textual entailment and paraphrasing,proceedings of the workshop on textual entailment and paraphrasing
W11-0612,1.0,1.0,1.0,,,proceedings of the 2nd workshop on cognitive modeling and computational linguistics,proceedings of the 2nd workshop on cognitive modeling and computational linguistics
P11-2112,0.0,0.0,0.0,proceedings of the 49th annual meeting of the association for computational linguistics:shortpapers,proceedings of the 49th annual meeting of the association for computational linguistics: human language technologies,proceedings of the 49th annual meeting of the association for computational linguistics: human language technologies,proceedings of the 49th annual meeting of the association for computational linguistics:shortpapers
D10-1031,0.0,0.0,0.0,proceedings of the 2010 conference on empirical methods in natural language processing,emnlp,emnlp,proceedings of the 2010 conference on empirical methods in natural language processing
W07-0312,0.0,0.0,0.0,bridging the gap: academic and industrial research in dialog technologies workshop proceedings,workshop on bridging the gap: academic and industrial research in dialog technologies,workshop on bridging the gap: academic and industrial research in dialog technologies,bridging the gap: academic and industrial research in dialog technologies workshop proceedings
S13-1020,0.0,0.0,0.0,second joint conference on lexical and computational semantics (*sem) proceedings of the main conference and the shared task,*sem,*sem,second joint conference on lexical and computational semantics (*sem) proceedings of the main conference and the shared task
W10-3216,0.0,0.0,0.0,proceedings of the 8th workshop on asian language resources asian federation for natural language processing,proceedings of the eighth workshop on asian language resouces,proceedings of the eighth workshop on asian language resouces,proceedings of the 8th workshop on asian language resources asian federation for natural language processing
J03-1006,0.0,0.0,0.0,10th european symposium on programming,computational linguistics,computational linguistics,10th european symposium on programming
C02-1014,0.0,0.0,0.0,extraction of semantic relations from a basque monolingual dictionary using constraint grammar,international conference on computational linguistics,international conference on computational linguistics,extraction of semantic relations from a basque monolingual dictionary using constraint grammar
N10-1144,0.0,0.0,0.0,language,human language technologies: the 2010 annual conference of the north american chapter of the association for computational linguistics,human language technologies: the 2010 annual conference of the north american chapter of the association for computational linguistics,language
W10-3803,0.0,0.0,0.0,proceedings of ssst-4, fourth workshop on syntax and structure in statistical translation,proceedings of the 4th workshop on syntax and structure in statistical translation,proceedings of the 4th workshop on syntax and structure in statistical translation,proceedings of ssst-4, fourth workshop on syntax and structure in statistical translation
C02-2022,0.0,0.0,0.0,traitement automatique des langues,international conference on computational linguistics - project notes,international conference on computational linguistics - project notes,traitement automatique des langues
