id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
P10-1005,1.0,1.0,1.0,,,2010,2010
W09-1602,0.0,0.0,0.0,2004,2009,2009,2004
P07-1085,1.0,1.0,1.0,,,2007,2007
D12-1023,1.0,1.0,1.0,,,2012,2012
P13-1118,0.0,0.0,0.0,1974,2013,2013,1974
D13-1132,1.0,1.0,1.0,,,2013,2013
J06-2005,0.0,0.0,0.0,1996,2006,2006,1996
E93-1038,0.0,0.0,0.0,1986,1993,1993,1986
P07-1107,1.0,1.0,1.0,,,2007,2007
N09-2058,-1,0.0,-1,,2009,2009,
P10-1092,1.0,1.0,1.0,,,2010,2010
I05-1079,0.0,0.0,0.0,1998,2005,2005,1998
P84-1051,0.0,0.0,0.0,1982,1984,1984,1982
W10-4331,-1,0.0,-1,,2010,2010,
L08-1060,0.0,0.0,0.0,2000,2008,2008,2000
W10-4106,0.0,0.0,0.0,2004,2010,2010,2004
E89-1018,0.0,0.0,0.0,1951,1989,1989,1951
W04-1506,-1,0.0,-1,,2004,2004,
P09-2033,1.0,1.0,1.0,,,2009,2009
W13-1732,1.0,1.0,1.0,,,2013,2013
W12-4302,0.0,0.0,0.0,2002,2012,2012,2002
N09-1001,-1,0.0,-1,,2009,2009,
N06-2032,0.0,0.0,0.0,2000,2006,2006,2000
C10-3009,0.0,0.0,0.0,2009,2010,2010,2009
H05-1113,0.0,0.0,0.0,1988,2005,2005,1988
W10-3306,1.0,1.0,1.0,,,2010,2010
C10-2151,1.0,1.0,1.0,,,2010,2010
W11-1415,1.0,1.0,1.0,,,2011,2011
P05-1043,-1,0.0,-1,,2005,2005,
P00-1076,0.0,0.0,0.0,1995,2000,2000,1995
P98-2162,0.0,0.0,0.0,1972,1998,1998,1972
D08-1071,-1,0.0,-1,,2008,2008,
P06-2046,0.0,0.0,0.0,2002,2006,2006,2002
W05-1604,-1,0.0,-1,,2005,2005,
I08-1051,-1,0.0,-1,,2008,2008,
W13-2120,-1,0.0,-1,,2013,2013,
N07-1038,0.0,0.0,0.0,2004,2007,2007,2004
P11-1105,-1,0.0,-1,,2011,2011,
I08-1037,0.0,0.0,0.0,2002,2008,2008,2002
H01-1072,0.0,0.0,0.0,1991,2001,2001,1991
W08-1406,1.0,1.0,1.0,,,2008,2008
W11-0419,1.0,1.0,1.0,,,2011,2011
C65-1019,0.0,0.0,0.0,1964,1965,1965,1964
W12-2514,0.0,0.0,0.0,2005,2012,2012,2005
C08-1059,-1,0.0,-1,,2008,2008,
H05-1029,0.0,0.0,0.0,2003,2005,2005,2003
P89-1023,0.0,0.0,0.0,1988,1989,1989,1988
W12-3126,0.0,0.0,0.0,2008,2012,2012,2008
N06-4009,0.0,0.0,0.0,2000,2006,2006,2000
W04-2012,0.0,0.0,0.0,2002,2004,2004,2002
W13-2715,-1,0.0,-1,,2013,2013,
N09-1042,-1,0.0,-1,,2009,2009,
W05-0634,1.0,1.0,1.0,,,2005,2005
L08-1519,-1,0.0,-1,,2008,2008,
W04-3103,0.0,0.0,0.0,1994,2004,2004,1994
W13-2217,0.0,0.0,0.0,2003,2013,2013,2003
P06-1014,-1,0.0,-1,,2006,2006,
J05-1005,0.0,0.0,0.0,2000,2005,2005,2000
W07-1607,1.0,1.0,1.0,,,2007,2007
D09-1128,1.0,1.0,1.0,,,2009,2009
E99-1034,0.0,0.0,0.0,1996,1999,1999,1996
W08-1208,1.0,1.0,1.0,,,2008,2008
W10-0909,0.0,0.0,0.0,1998,2010,2010,1998
W12-0707,-1,0.0,-1,,2012,2012,
H89-1043,-1,0.0,-1,,1989,1989,
C10-2103,1.0,1.0,1.0,,,2010,2010
W06-2903,0.0,0.0,0.0,1979,2006,2006,1979
W05-0835,-1,0.0,-1,,2005,2005,
P87-1026,0.0,0.0,0.0,1975,1987,1987,1975
W04-1401,-1,0.0,-1,,2004,2004,
P11-1116,0.0,0.0,0.0,2009,2011,2011,2009
S13-2111,-1,0.0,-1,,2013,2013,
W05-0818,-1,0.0,-1,,2005,2005,
W13-1011,1.0,1.0,1.0,,,2013,2013
W09-3105,1.0,1.0,1.0,,,2009,2009
S10-1018,1.0,1.0,1.0,,,2010,2010
W04-0808,0.0,0.0,0.0,2000,2004,2004,2000
N09-3003,-1,0.0,-1,,2009,2009,
P09-2044,1.0,1.0,1.0,,,2009,2009
P08-1008,0.0,0.0,0.0,1998,2008,2008,1998
W10-4319,0.0,0.0,0.0,2004,2010,2010,2004
L08-1453,0.0,0.0,0.0,2006,2008,2008,2006
W06-1708,-1,0.0,-1,,2006,2006,
W12-3806,0.0,0.0,0.0,2008,2012,2012,2008
P11-1054,-1,0.0,-1,,2011,2011,
P05-1059,0.0,0.0,0.0,2000,2005,2005,2000
W10-4321,-1,0.0,-1,,2010,2010,
P13-1123,1.0,1.0,1.0,,,2013,2013
P86-1018,-1,0.0,-1,,1986,1986,
W10-1718,1.0,1.0,1.0,,,2010,2010
J13-2001,0.0,0.0,0.0,2010,2013,2013,2010
W12-6202,-1,0.0,-1,,2012,2012,
W02-1801,0.0,0.0,0.0,1991,2002,2002,1991
C10-2114,-1,0.0,-1,,2010,2010,
H05-1081,0.0,0.0,0.0,2004,2005,2005,2004
W08-0901,-1,0.0,-1,,2008,2008,
W97-1503,0.0,0.0,0.0,1989,1997,1997,1989
A00-2038,0.0,0.0,0.0,1997,2000,2000,1997
E89-1030,0.0,0.0,0.0,1976,1989,1989,1976
P91-1015,0.0,0.0,0.0,1989,1991,1991,1989
W07-2206,1.0,1.0,1.0,,,2007,2007
I08-7016,0.0,0.0,0.0,2006,2008,2008,2006
W00-0107,0.0,0.0,0.0,1965,2000,2000,1965
W10-3601,-1,0.0,-1,,2010,2010,
P96-1049,0.0,0.0,0.0,1994,1996,1996,1994
N13-1111,1.0,1.0,1.0,,,2013,2013
P13-1092,1.0,1.0,1.0,,,2013,2013
H89-2034,0.0,0.0,0.0,1988,1989,1989,1988
W04-0817,1.0,1.0,1.0,,,2004,2004
L08-1406,0.0,0.0,0.0,2003,2008,2008,2003
W09-2603,-1,0.0,-1,,2009,2009,
P96-1028,0.0,0.0,0.0,1993,1996,1996,1993
P02-1053,0.0,0.0,0.0,1996,2002,2002,1996
D13-1154,1.0,1.0,1.0,,,2013,2013
E06-2024,0.0,0.0,0.0,2003,2006,2006,2003
C02-1157,0.0,0.0,0.0,1997,2002,2002,1997
W13-2412,-1,0.0,-1,,2013,2013,
P13-1102,1.0,1.0,1.0,,,2013,2013
W13-1613,0.0,0.0,0.0,2009,2013,2013,2009
N13-2001,1.0,1.0,1.0,,,2013,2013
P13-1004,1.0,1.0,1.0,,,2013,2013
W10-1753,1.0,1.0,1.0,,,2010,2010
W11-1207,-1,0.0,-1,,2011,2011,
W06-3604,0.0,0.0,0.0,2001,2006,2006,2001
C10-1045,1.0,1.0,1.0,,,2010,2010
D08-1030,-1,0.0,-1,,2008,2008,
D12-1041,1.0,1.0,1.0,,,2012,2012
W09-3206,1.0,1.0,1.0,,,2009,2009
W11-1725,-1,0.0,-1,,2011,2011,
W01-1604,-1,0.0,-1,,2001,2001,
W10-2101,0.0,0.0,0.0,2000,2010,2010,2000
P03-1058,0.0,0.0,0.0,1991,2003,2003,1991
N06-2010,-1,0.0,-1,,2006,2006,
W10-3019,1.0,1.0,1.0,,,2010,2010
H05-1065,-1,0.0,-1,,2005,2005,
D12-1081,1.0,1.0,1.0,,,2012,2012
N13-3008,1.0,1.0,1.0,,,2013,2013
I08-1073,0.0,0.0,0.0,2002,2008,2008,2002
P87-1002,-1,0.0,-1,,1987,1987,
W10-2309,1.0,1.0,1.0,,,2010,2010
W06-2925,-1,0.0,-1,,2006,2006,
E91-1040,0.0,0.0,0.0,1985,1991,1991,1985
W11-1410,1.0,1.0,1.0,,,2011,2011
S13-2029,-1,0.0,-1,,2013,2013,
N09-3014,-1,0.0,-1,,2009,2009,
W97-0116,1.0,1.0,1.0,,,1997,1997
W01-0703,0.0,0.0,0.0,1996,2001,2001,1996
C90-2031,0.0,0.0,0.0,1979,1990,1990,1979
W06-3310,0.0,0.0,0.0,1996,2006,2006,1996
P06-1024,0.0,0.0,0.0,1962,2006,2006,1962
P99-1054,0.0,0.0,0.0,1988,1999,1999,1988
W98-1425,0.0,0.0,0.0,1997,1998,1998,1997
H94-1018,-1,0.0,-1,,1994,1994,
C04-1141,0.0,0.0,0.0,2000,2004,2004,2000
I08-2124,0.0,0.0,0.0,2006,2008,2008,2006
J08-4002,0.0,0.0,0.0,1999,2008,2008,1999
W04-2405,0.0,0.0,0.0,2002,2004,2004,2002
P11-1043,-1,0.0,-1,,2011,2011,
W09-1404,-1,0.0,-1,,2009,2009,
L08-1323,-1,0.0,-1,,2008,2008,
W09-3744,-1,0.0,-1,,2009,2009,
W04-2705,0.0,0.0,0.0,1997,2004,2004,1997
C08-1039,0.0,0.0,0.0,1993,2008,2008,1993
W00-1302,0.0,0.0,0.0,1995,2000,2000,1995
W08-1129,-1,0.0,-1,,2008,2008,
W00-0409,0.0,0.0,0.0,1997,2000,2000,1997
W02-0406,0.0,0.0,0.0,2001,2002,2002,2001
E12-2003,-1,0.0,-1,,2012,2012,
C04-1012,0.0,0.0,0.0,2000,2004,2004,2000
P09-2055,1.0,1.0,1.0,,,2009,2009
P08-1092,-1,0.0,-1,,2008,2008,
D10-1090,1.0,1.0,1.0,,,2010,2010
C04-1006,-1,0.0,-1,,2004,2004,
W11-1801,0.0,0.0,0.0,2010,2011,2011,2010
H91-1003,0.0,0.0,0.0,1989,1991,1991,1989
S13-2105,-1,0.0,-1,,2013,2013,
W08-1307,1.0,1.0,1.0,,,2008,2008
W97-0303,0.0,0.0,0.0,1996,1997,1997,1996
A00-2023,0.0,0.0,0.0,1995,2000,2000,1995
W10-3201,1.0,1.0,1.0,,,2010,2010
P98-1087,0.0,0.0,0.0,1991,1998,1998,1991
S12-1054,-1,0.0,-1,,2012,2012,
W11-2703,-1,0.0,-1,,2011,2011,
H86-1019,1.0,1.0,1.0,,,1986,1986
P11-2047,0.0,0.0,0.0,2007,2011,2011,2007
W12-2604,-1,0.0,-1,,2012,2012,
D11-1082,1.0,1.0,1.0,,,2011,2011
P06-1117,-1,0.0,-1,,2006,2006,
W10-2809,1.0,1.0,1.0,,,2010,2010
P93-1045,0.0,0.0,0.0,1985,1993,1993,1985
D12-1069,-1,0.0,-1,,2012,2012,
D13-1158,-1,0.0,-1,,2013,2013,
P99-1013,0.0,0.0,0.0,1992,1999,1999,1992
P06-2052,-1,0.0,-1,,2006,2006,
E91-1038,0.0,0.0,0.0,1980,1991,1991,1980
W98-0204,1.0,1.0,1.0,,,1998,1998
W11-0131,0.0,0.0,0.0,1979,2011,2011,1979
A00-2001,0.0,0.0,0.0,1976,2000,2000,1976
W10-0514,-1,0.0,-1,,2010,2010,
P10-1140,-1,0.0,-1,,2010,2010,
W03-0112,-1,0.0,-1,,2003,2003,
N12-1044,0.0,0.0,0.0,2002,2012,2012,2002
W03-1729,0.0,0.0,0.0,1993,2003,2003,1993
W09-0509,1.0,1.0,1.0,,,2009,2009
P97-1038,0.0,0.0,0.0,1991,1997,1997,1991
S10-1006,1.0,1.0,1.0,,,2010,2010
P06-2010,-1,0.0,-1,,2006,2006,
P07-1030,0.0,0.0,0.0,2000,2007,2007,2000
H92-1063,0.0,0.0,0.0,1991,1992,1992,1991
P10-1063,1.0,1.0,1.0,,,2010,2010
P05-1054,-1,0.0,-1,,2005,2005,
I05-3013,-1,0.0,-1,,2005,2005,
P11-2101,0.0,0.0,0.0,2006,2011,2011,2006
W04-2204,0.0,0.0,0.0,2002,2004,2004,2002
N13-1005,1.0,1.0,1.0,,,2013,2013
P93-1006,0.0,0.0,0.0,1992,1993,1993,1992
P07-1114,-1,0.0,-1,,2007,2007,
P94-1017,0.0,0.0,0.0,1989,1994,1994,1989
W04-2604,0.0,0.0,0.0,1999,2004,2004,1999
H91-1039,0.0,0.0,0.0,1988,1991,1991,1988
P11-2031,-1,0.0,-1,,2011,2011,
E83-1022,0.0,0.0,0.0,1980,1983,1983,1980
P89-1001,0.0,0.0,0.0,1984,1989,1989,1984
I05-1057,0.0,0.0,0.0,2000,2005,2005,2000
A92-1012,-1,0.0,-1,,1992,1992,
W13-3005,0.0,0.0,0.0,1991,2013,2013,1991
P92-1022,0.0,0.0,0.0,1975,1992,1992,1975
P97-1049,0.0,0.0,0.0,1991,1997,1997,1991
W04-2316,0.0,0.0,0.0,1991,2004,2004,1991
P10-3017,1.0,1.0,1.0,,,2010,2010
C04-1040,0.0,0.0,0.0,2000,2004,2004,2000
W01-0811,-1,0.0,-1,,2001,2001,
P13-1027,1.0,1.0,1.0,,,2013,2013
C04-1112,0.0,0.0,0.0,1993,2004,2004,1993
A00-2012,0.0,0.0,0.0,1990,2000,2000,1990
W11-1714,-1,0.0,-1,,2011,2011,
I08-7020,0.0,0.0,0.0,2007,2008,2008,2007
S12-1091,-1,0.0,-1,,2012,2012,
I08-1022,0.0,0.0,0.0,2003,2008,2008,2003
I08-6004,0.0,0.0,0.0,2003,2008,2008,2003
P10-3001,1.0,1.0,1.0,,,2010,2010
W04-0906,-1,0.0,-1,,2004,2004,
D08-1101,0.0,0.0,0.0,1995,2008,2008,1995
W02-0213,0.0,0.0,0.0,1997,2002,2002,1997
W13-2254,1.0,1.0,1.0,,,2013,2013
P13-1067,1.0,1.0,1.0,,,2013,2013
P11-4008,1.0,1.0,1.0,,,2011,2011
D07-1085,0.0,0.0,0.0,1999,2007,2007,1999
P07-1078,1.0,1.0,1.0,,,2007,2007
C04-1192,0.0,0.0,0.0,2001,2004,2004,2001
N12-1066,-1,0.0,-1,,2012,2012,
W06-0131,0.0,0.0,0.0,2000,2006,2006,2000
S12-1068,-1,0.0,-1,,2012,2012,
W11-0142,0.0,0.0,0.0,2005,2011,2011,2005
D08-1025,0.0,0.0,0.0,2007,2008,2008,2007
P11-1021,-1,0.0,-1,,2011,2011,
C10-2156,-1,0.0,-1,,2010,2010,
W97-0901,0.0,0.0,0.0,1996,1997,1997,1996
W07-2084,0.0,0.0,0.0,2002,2007,2007,2002
H05-1048,0.0,0.0,0.0,2000,2005,2005,2000
W08-2114,1.0,1.0,1.0,,,2008,2008
S10-1071,1.0,1.0,1.0,,,2010,2010
L08-1485,-1,0.0,-1,,2008,2008,
W09-1504,-1,0.0,-1,,2009,2009,
P99-1077,0.0,0.0,0.0,1984,1999,1999,1984
C02-1061,0.0,0.0,0.0,1990,2002,2002,1990
P11-2036,-1,0.0,-1,,2011,2011,
C10-1151,1.0,1.0,1.0,,,2010,2010
L08-1300,0.0,0.0,0.0,2003,2008,2008,2003
W11-1307,0.0,0.0,0.0,2005,2011,2011,2005
P13-2069,1.0,1.0,1.0,,,2013,2013
W03-0316,0.0,0.0,0.0,1993,2003,2003,1993
W08-0304,-1,0.0,-1,,2008,2008,
D13-1020,1.0,1.0,1.0,,,2013,2013
A94-1009,0.0,0.0,0.0,1992,1994,1994,1992
P08-2010,-1,0.0,-1,,2008,2008,
W12-1807,0.0,0.0,0.0,2001,2012,2012,2001
C10-2016,1.0,1.0,1.0,,,2010,2010
W06-0501,0.0,0.0,0.0,2004,2006,2006,2004
P82-1015,0.0,0.0,0.0,1981,1982,1982,1981
W07-0605,1.0,1.0,1.0,,,2007,2007
P05-3010,0.0,0.0,0.0,2002,2005,2005,2002
D09-1110,1.0,1.0,1.0,,,2009,2009
W11-0204,-1,0.0,-1,,2011,2011,
E83-1014,0.0,0.0,0.0,1979,1983,1983,1979
P11-2009,-1,0.0,-1,,2011,2011,
H93-1034,0.0,0.0,0.0,1992,1993,1993,1992
M91-1022,1.0,1.0,1.0,,,1991,1991
W99-0625,0.0,0.0,0.0,1995,1999,1999,1995
S13-1033,0.0,0.0,0.0,2006,2013,2013,2006
W10-1311,0.0,0.0,0.0,2004,2010,2010,2004
E93-1005,0.0,0.0,0.0,1991,1993,1993,1991
W10-1114,-1,0.0,-1,,2010,2010,
P09-2086,1.0,1.0,1.0,,,2009,2009
W11-1218,1.0,1.0,1.0,,,2011,2011
C10-2049,1.0,1.0,1.0,,,2010,2010
P85-1032,0.0,0.0,0.0,1976,1985,1985,1976
W02-1012,0.0,0.0,0.0,1993,2002,2002,1993
W11-2125,1.0,1.0,1.0,,,2011,2011
C10-1056,-1,0.0,-1,,2010,2010,
W04-2308,0.0,0.0,0.0,1997,2004,2004,1997
N12-2002,0.0,0.0,0.0,1998,2012,2012,1998
E12-1076,-1,0.0,-1,,2012,2012,
H01-1001,0.0,0.0,0.0,1997,2001,2001,1997
W09-2415,-1,0.0,-1,,2009,2009,
P03-1053,0.0,0.0,0.0,1997,2003,2003,1997
W05-0601,-1,0.0,-1,,2005,2005,
D10-1082,1.0,1.0,1.0,,,2010,2010
P07-1121,1.0,1.0,1.0,,,2007,2007
N04-1022,0.0,0.0,0.0,2003,2004,2004,2003
P09-4009,1.0,1.0,1.0,,,2009,2009
W08-1103,0.0,0.0,0.0,2006,2008,2008,2006
P95-1034,0.0,0.0,0.0,1994,1995,1995,1994
P97-1070,0.0,0.0,0.0,1990,1997,1997,1990
W97-1311,0.0,0.0,0.0,1987,1997,1997,1987
W03-2802,0.0,0.0,0.0,2002,2003,2003,2002
W07-2015,0.0,0.0,0.0,2004,2007,2007,2004
W12-4208,1.0,1.0,1.0,,,2012,2012
W12-4502,-1,0.0,-1,,2012,2012,
W06-0136,0.0,0.0,0.0,2003,2006,2006,2003
D10-1014,1.0,1.0,1.0,,,2010,2010
C04-1157,-1,0.0,-1,,2004,2004,
D11-1129,1.0,1.0,1.0,,,2011,2011
W03-1507,0.0,0.0,0.0,2001,2003,2003,2001
W06-2914,-1,0.0,-1,,2006,2006,
P13-1015,1.0,1.0,1.0,,,2013,2013
N07-1054,0.0,0.0,0.0,2005,2007,2007,2005
J07-3005,0.0,0.0,0.0,2005,2007,2007,2005
H94-1086,0.0,0.0,0.0,1990,1994,1994,1990
S12-1011,-1,0.0,-1,,2012,2012,
H89-2028,0.0,0.0,0.0,1983,1989,1989,1983
I08-2096,0.0,0.0,0.0,2004,2008,2008,2004
W00-1415,0.0,0.0,0.0,1996,2000,2000,1996
P11-2076,-1,0.0,-1,,2011,2011,
W13-4048,1.0,1.0,1.0,,,2013,2013
N09-1023,-1,0.0,-1,,2009,2009,
P11-2118,-1,0.0,-1,,2011,2011,
W04-1808,-1,0.0,-1,,2004,2004,
W09-0706,1.0,1.0,1.0,,,2009,2009
W94-0112,1.0,1.0,1.0,,,1994,1994
W10-2605,1.0,1.0,1.0,,,2010,2010
W13-2243,-1,0.0,-1,,2013,2013,
I08-2088,0.0,0.0,0.0,1998,2008,2008,1998
N09-2069,0.0,0.0,0.0,2004,2009,2009,2004
C10-1012,-1,0.0,-1,,2010,2010,
N07-2035,0.0,0.0,0.0,2006,2007,2007,2006
S12-1079,1.0,1.0,1.0,,,2012,2012
W08-1006,-1,0.0,-1,,2008,2008,
D07-1004,0.0,0.0,0.0,2003,2007,2007,2003
A92-1001,1.0,1.0,1.0,,,1992,1992
P12-2064,0.0,0.0,0.0,2005,2012,2012,2005
H05-1094,-1,0.0,-1,,2005,2005,
P11-1062,0.0,0.0,0.0,2001,2011,2011,2001
W10-2208,1.0,1.0,1.0,,,2010,2010
