id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
D08-1047,-1,0.0,-1,,A Discriminative Candidate Generator for String Transformations,A Discriminative Candidate Generator for String Transformations,
P04-1039,1.0,1.0,1.0,,,Relieving The Data Acquisition Bottleneck In Word Sense Disambiguation,Relieving The Data Acquisition Bottleneck In Word Sense Disambiguation
J03-3004,0.0,0.0,0.0,wEBMT : Developing and Validating an Example - Based Machine Translation System Using the World Wide Web,WEBMT: Developing And Validating An Example-Based Machine Translation System Using The World Wide Web,WEBMT: Developing And Validating An Example-Based Machine Translation System Using The World Wide Web,wEBMT : Developing and Validating an Example - Based Machine Translation System Using the World Wide Web
C10-2109,-1,0.0,-1,,MT Error Detection for Cross-Lingual Question Answering,MT Error Detection for Cross-Lingual Question Answering,
N12-1038,-1,0.0,-1,,Getting More from Segmentation Evaluation,Getting More from Segmentation Evaluation,
P06-1091,-1,0.0,-1,,A Discriminative Global Training Algorithm For Statistical MT,A Discriminative Global Training Algorithm For Statistical MT,
W00-1006,-1,0.0,-1,,From Elementary Discourse Units To Complex Ones,From Elementary Discourse Units To Complex Ones,
W97-1409,0.0,0.0,0.0,Planning Referential Acts for Animated Presentation Agents,Planning Referential Acts For Animated Presentation Agents,Planning Referential Acts For Animated Presentation Agents,Planning Referential Acts for Animated Presentation Agents
W02-1906,-1,0.0,-1,,Passage Selection To Improve Question Answering,Passage Selection To Improve Question Answering,
D07-1063,-1,0.0,-1,,Japanese Dependency Analysis Using the Ancestor-Descendant Relation,Japanese Dependency Analysis Using the Ancestor-Descendant Relation,
P08-1035,-1,0.0,-1,,A Generic Sentence Trimmer with CRFs,A Generic Sentence Trimmer with CRFs,
S10-1097,-1,0.0,-1,,Twitter Based System: Using Twitter for Disambiguating Sentiment Ambiguous Adjectives,Twitter Based System: Using Twitter for Disambiguating Sentiment Ambiguous Adjectives,
P06-2041,-1,0.0,-1,,Discriminative Classifiers For Deterministic Dependency Parsing,Discriminative Classifiers For Deterministic Dependency Parsing,
C02-1066,0.0,0.0,0.0,Guaranteeing Parsing Termination of Grammars,Guaranteeing Parsing Termination Of Unification Grammars,Guaranteeing Parsing Termination Of Unification Grammars,Guaranteeing Parsing Termination of Grammars
E89-1007,0.0,0.0,0.0,ON THE GENERATIVE POWER OF TWO . LEVEL,On The Generative Power Of Two-Level Morphological Rules,On The Generative Power Of Two-Level Morphological Rules,ON THE GENERATIVE POWER OF TWO . LEVEL
W11-2037,-1,0.0,-1,,Error Return Plots,Error Return Plots,
P10-1050,-1,0.0,-1,,Efficient Staggered Decoding for Sequence Labeling,Efficient Staggered Decoding for Sequence Labeling,
W02-0708,-1,0.0,-1,,Balancing Expressiveness And Simplicity In An Interlingua For Task Based Dialogue,Balancing Expressiveness And Simplicity In An Interlingua For Task Based Dialogue,
P13-1083,-1,0.0,-1,,Part-of-Speech Induction in Dependency Trees for Statistical Machine Translation,Part-of-Speech Induction in Dependency Trees for Statistical Machine Translation,
N12-1077,-1,0.0,-1,,Measuring Word Relatedness Using Heterogeneous Vector Space Models,Measuring Word Relatedness Using Heterogeneous Vector Space Models,
W05-1202,-1,0.0,-1,,The Distributional Similarity Of Sub-Parses,The Distributional Similarity Of Sub-Parses,
W09-3415,-1,0.0,-1,,Part of Speech Tagging for Mongolian Corpus,Part of Speech Tagging for Mongolian Corpus,
H91-1021,0.0,0.0,0.0,Augmented Role Filling Capabilities for Semantic Interpretation of Spoken Language,Augmented Role Filling Capabilities For Semantic Interpretation Of Spoken Language,Augmented Role Filling Capabilities For Semantic Interpretation Of Spoken Language,Augmented Role Filling Capabilities for Semantic Interpretation of Spoken Language
P94-1003,0.0,0.0,0.0,PRIORITY UNION AND GENERALIZATION IN DISCOURSE GRAMMARS,Priority Union And Generalization In Discourse Grammars,Priority Union And Generalization In Discourse Grammars,PRIORITY UNION AND GENERALIZATION IN DISCOURSE GRAMMARS
W06-1515,-1,0.0,-1,,Constraint-Based Computational Semantics: A Comparison Between LTAG And LRS,Constraint-Based Computational Semantics: A Comparison Between LTAG And LRS,
C10-1050,-1,0.0,-1,,Hierarchical Phrase-based Machine Translation with Word-based Reordering Model,Hierarchical Phrase-based Machine Translation with Word-based Reordering Model,
P09-1025,-1,0.0,-1,,Learning to Tell Tales: A Data-driven Approach to Story Generation,Learning to Tell Tales: A Data-driven Approach to Story Generation,
P06-2125,-1,0.0,-1,,An HMM-Based Approach To Automatic Phrasing For Mandarin Text-To-Speech Synthesis,An HMM-Based Approach To Automatic Phrasing For Mandarin Text-To-Speech Synthesis,
L08-1554,0.0,0.0,0.0,A Linguistic Resource for Discovering Event Structures and Resolving Event,A Linguistic Resource for Discovering Event Structures and Resolving Event Coreference,A Linguistic Resource for Discovering Event Structures and Resolving Event Coreference,A Linguistic Resource for Discovering Event Structures and Resolving Event
W08-0125,-1,0.0,-1,,Modelling and Detecting Decisions in Multi-party Dialogue,Modelling and Detecting Decisions in Multi-party Dialogue,
W03-0418,-1,0.0,-1,,Identifying Events Using Similarity And Context,Identifying Events Using Similarity And Context,
I05-1049,0.0,0.0,0.0,Relative Compositionality of Multi-word Expressions : A Study of Verb - Noun ( V - N ) Collocations Sriram,Relative Compositionality of Multi-word Expressions: A Study of Verb-Noun (V-N) Collocations,Relative Compositionality of Multi-word Expressions: A Study of Verb-Noun (V-N) Collocations,Relative Compositionality of Multi-word Expressions : A Study of Verb - Noun ( V - N ) Collocations Sriram
C10-1034,-1,0.0,-1,,An Empirical Study on Learning to Rank of Tweets,An Empirical Study on Learning to Rank of Tweets,
W07-2062,-1,0.0,-1,,RTV: Tree Kernels for Thematic Role Classification,RTV: Tree Kernels for Thematic Role Classification,
L08-1229,-1,0.0,-1,,Bootstrapping Language Description: the case of Mpiemo (Bantu A, Central African Republic),Bootstrapping Language Description: the case of Mpiemo (Bantu A, Central African Republic),
D13-1035,-1,0.0,-1,,Grounding Strategic Conversation: Using Negotiation Dialogues to Predict Trades in a Win-Lose Game,Grounding Strategic Conversation: Using Negotiation Dialogues to Predict Trades in a Win-Lose Game,
W04-1313,-1,0.0,-1,,Combining Utterance-Boundary And Predictability Approaches To Speech Segmentation,Combining Utterance-Boundary And Predictability Approaches To Speech Segmentation,
W07-0720,-1,0.0,-1,,Ngram-Based Statistical Machine Translation Enhanced with Multiple Weighted Reordering Hypotheses,Ngram-Based Statistical Machine Translation Enhanced with Multiple Weighted Reordering Hypotheses,
P13-2013,-1,0.0,-1,,Aggregated Word Pair Features for Implicit Discourse Relation Disambiguation,Aggregated Word Pair Features for Implicit Discourse Relation Disambiguation,
W06-1627,-1,0.0,-1,,Efficient Search For Inversion Transduction Grammar,Efficient Search For Inversion Transduction Grammar,
W05-1302,-1,0.0,-1,,Adaptive String Similarity Metrics For Biomedical Reference Resolution,Adaptive String Similarity Metrics For Biomedical Reference Resolution,
W10-4332,-1,0.0,-1,,Enhanced Monitoring Tools and Online Dialogue Optimisation Merged into a New Spoken Dialogue System Design Experience,Enhanced Monitoring Tools and Online Dialogue Optimisation Merged into a New Spoken Dialogue System Design Experience,
W12-2402,-1,0.0,-1,,Bootstrapping Biomedical Ontologies for Scientific Text using NELL,Bootstrapping Biomedical Ontologies for Scientific Text using NELL,
W01-0714,-1,0.0,-1,,Distributional Phrase Structure Induction,Distributional Phrase Structure Induction,
L08-1159,-1,0.0,-1,,Coding Emotional Events in Audiovisual Corpora,Coding Emotional Events in Audiovisual Corpora,
W06-1521,-1,0.0,-1,,Parsing TAG With Abstract Categorial Grammar,Parsing TAG With Abstract Categorial Grammar,
W08-1605,-1,0.0,-1,,Personalized, Interactive Question Answering on the Web,Personalized, Interactive Question Answering on the Web,
C04-1196,-1,0.0,-1,,Understanding Students' Explanations In Geometry Tutoring,Understanding Students' Explanations In Geometry Tutoring,
P02-1064,-1,0.0,-1,,An Empirical Study Of Active Learning With Support Vector Machines ForJapanese Word Segmentation,An Empirical Study Of Active Learning With Support Vector Machines ForJapanese Word Segmentation,
D11-1048,-1,0.0,-1,,A generative model for unsupervised discovery of relations and argument classes from clinical texts,A generative model for unsupervised discovery of relations and argument classes from clinical texts,
W09-2506,-1,0.0,-1,,Ranking Paraphrases in Context,Ranking Paraphrases in Context,
C90-1019,-1,0.0,-1,,Deep Sentence Understanding In A Restricted Domain,Deep Sentence Understanding In A Restricted Domain,
S10-1050,-1,0.0,-1,,ECNU: Effective Semantic Relations Classification without Complicated Features or Multiple External Corpora,ECNU: Effective Semantic Relations Classification without Complicated Features or Multiple External Corpora,
W12-6209,-1,0.0,-1,,Kleene, a Free and Open-Source Language for Finite-State Programming,Kleene, a Free and Open-Source Language for Finite-State Programming,
H91-1028,0.0,0.0,0.0,FIELD TEST EVALUATIONS and OPTIMIZATION of SPEAKER INDEPENDENT SPEECH RECOGNITION for TELEPHONE,Field Test Evaluations And Optimization Of Speaker Independent Speech Recognition For Telephone Applications,Field Test Evaluations And Optimization Of Speaker Independent Speech Recognition For Telephone Applications,FIELD TEST EVALUATIONS and OPTIMIZATION of SPEAKER INDEPENDENT SPEECH RECOGNITION for TELEPHONE
W05-1517,-1,0.0,-1,,Efficient Extraction Of Grammatical Relations,Efficient Extraction Of Grammatical Relations,
E95-1031,0.0,0.0,0.0,A Robust Parser Based on Syntactic Information,A Robust Parser Based On Syntactic Information,A Robust Parser Based On Syntactic Information,A Robust Parser Based on Syntactic Information
W07-1705,-1,0.0,-1,,Automatic Processing of Diabetic Patients' Hospital Documentation,Automatic Processing of Diabetic Patients' Hospital Documentation,
P03-2031,0.0,0.0,0.0,Automatic Acquisition of Named Entity Tagged Corpus from World,Automatic Acquisition Of Named Entity Tagged Corpus From World Wide Web,Automatic Acquisition Of Named Entity Tagged Corpus From World Wide Web,Automatic Acquisition of Named Entity Tagged Corpus from World
W10-2910,-1,0.0,-1,,Syntactic and Semantic Structure for Opinion Expression Detection,Syntactic and Semantic Structure for Opinion Expression Detection,
P13-2151,-1,0.0,-1,,Does Korean defeat phonotactic word segmentation?,Does Korean defeat phonotactic word segmentation?,
S12-1087,-1,0.0,-1,,UNIBA: Distributional Semantics for Textual Similarity,UNIBA: Distributional Semantics for Textual Similarity,
W06-1504,-1,0.0,-1,,The Weak Generative Capacity Of Linear Tree-Adjoining Grammars,The Weak Generative Capacity Of Linear Tree-Adjoining Grammars,
W04-2113,-1,0.0,-1,,Morphological Interfaces To Dictionaries,Morphological Interfaces To Dictionaries,
P00-1065,-1,0.0,-1,,Automatic Labeling Of Semantic Roles,Automatic Labeling Of Semantic Roles,
W10-3105,-1,0.0,-1,,Speculation and negation annotation in natural language texts: what the case of BioScope might (not) reveal,Speculation and negation annotation in natural language texts: what the case of BioScope might (not) reveal,
P06-4016,-1,0.0,-1,,TwicPen: Hand-Held Scanner And Translation Software For Non-Native Readers,TwicPen: Hand-Held Scanner And Translation Software For Non-Native Readers,
P13-1134,-1,0.0,-1,,FrameNet on the Way to Babel: Creating a Bilingual FrameNet Using Wiktionary as Interlingual Connection,FrameNet on the Way to Babel: Creating a Bilingual FrameNet Using Wiktionary as Interlingual Connection,
W04-2807,0.0,0.0,0.0,Different Sense Granularities for Different,Different Sense Granularities For Different Applications,Different Sense Granularities For Different Applications,Different Sense Granularities for Different
W06-2911,-1,0.0,-1,,Applying Alternating Structure Optimization To Word Sense Disambiguation,Applying Alternating Structure Optimization To Word Sense Disambiguation,
H94-1068,0.0,0.0,0.0,vIicrophone Arrays and Neural Networks for Robust Speech,Microphone Arrays And Neural Networks For Robust Speech Recognition,Microphone Arrays And Neural Networks For Robust Speech Recognition,vIicrophone Arrays and Neural Networks for Robust Speech
W93-0114,-1,0.0,-1,,Categorization And Standardizing Proper Nouns For Efficient Information Retrieval,Categorization And Standardizing Proper Nouns For Efficient Information Retrieval,
P98-2151,0.0,0.0,0.0,Automatic Text Summarization Based on the Global Document,Automatic Text Summarization Based on the Global Document Annotation,Automatic Text Summarization Based on the Global Document Annotation,Automatic Text Summarization Based on the Global Document
N12-2006,-1,0.0,-1,,Choosing an Evaluation Metric for Parser Design,Choosing an Evaluation Metric for Parser Design,
W09-3953,-1,0.0,-1,,Contrasting the Interaction Structure of an Email and a Telephone Corpus: A Machine Learning Approach to Annotation of Dialogue Function Units,Contrasting the Interaction Structure of an Email and a Telephone Corpus: A Machine Learning Approach to Annotation of Dialogue Function Units,
L08-1502,0.0,0.0,0.0,Combining Multiple Models for Speech Information Retrieval Muath Alzghool,ALC: Alcohol Language Corpus,ALC: Alcohol Language Corpus,Combining Multiple Models for Speech Information Retrieval Muath Alzghool
C00-2098,-1,0.0,-1,,A Context-Sensitive Model For Probabilistic LR Parsing Of Spoken Language With Transformation-Based Postprocessing,A Context-Sensitive Model For Probabilistic LR Parsing Of Spoken Language With Transformation-Based Postprocessing,
P11-2061,-1,0.0,-1,,Temporal Evaluation,Temporal Evaluation,
W12-1620,-1,0.0,-1,,A Mixed-Initiative Conversational Dialogue System for Healthcare,A Mixed-Initiative Conversational Dialogue System for Healthcare,
P12-2042,-1,0.0,-1,,Towards the Unsupervised Acquisition of Discourse Relations,Towards the Unsupervised Acquisition of Discourse Relations,
D10-1019,0.0,0.0,0.0,and Decoding Using Virtual Nodes for Cascaded Segmentation and Tagging Tasks Xian Qian ,,Joint Training and Decoding Using Virtual Nodes for Cascaded Segmentation and Tagging Tasks,Joint Training and Decoding Using Virtual Nodes for Cascaded Segmentation and Tagging Tasks,and Decoding Using Virtual Nodes for Cascaded Segmentation and Tagging Tasks Xian Qian ,
E93-1027,-1,0.0,-1,,Linguistic Knowledge Acquisition From Parsing Failures,Linguistic Knowledge Acquisition From Parsing Failures,
W08-0707,-1,0.0,-1,,Phonotactic Probability and the Maori Passive: A Computational Approach,Phonotactic Probability and the Maori Passive: A Computational Approach,
W97-0121,-1,0.0,-1,,Collocation Lattices And Maximum Entropy Models,Collocation Lattices And Maximum Entropy Models,
J07-4003,0.0,0.0,0.0,Weighted and Probabilistic Context - Free Grammars Are,Weighted and Probabilistic Context-Free Grammars Are Equally Expressive,Weighted and Probabilistic Context-Free Grammars Are Equally Expressive,Weighted and Probabilistic Context - Free Grammars Are
W05-0807,-1,0.0,-1,,Induction Of Fine-Grained Part-Of-Speech Taggers Via Classifier Combination And Crosslingual Projection,Induction Of Fine-Grained Part-Of-Speech Taggers Via Classifier Combination And Crosslingual Projection,
W04-2008,0.0,0.0,0.0,An Algorithm for Open Text Semantic Parsing,An Algorithm For Open Text Semantic Parsing,An Algorithm For Open Text Semantic Parsing,An Algorithm for Open Text Semantic Parsing
P06-1013,-1,0.0,-1,,Ensemble Methods For Unsupervised WSD,Ensemble Methods For Unsupervised WSD,
P01-1061,-1,0.0,-1,,Computational Properties Of Environment-Based Disambiguation,Computational Properties Of Environment-Based Disambiguation,
N13-2004,-1,0.0,-1,,A Rule-based Approach for Karmina Generation,A Rule-based Approach for Karmina Generation,
E12-2014,-1,0.0,-1,,A Support Platform for Event Detection using Social Intelligence,A Support Platform for Event Detection using Social Intelligence,
W08-0614,-1,0.0,-1,,A Pilot Annotation to Investigate Discourse Connectivity in Biomedical Text,A Pilot Annotation to Investigate Discourse Connectivity in Biomedical Text,
P12-1045,-1,0.0,-1,,Fast Online Lexicon Learning for Grounded Language Acquisition,Fast Online Lexicon Learning for Grounded Language Acquisition,
C08-1060,-1,0.0,-1,,Reading the Markets: Forecasting Public Opinion of Political Candidates by News Analysis,Reading the Markets: Forecasting Public Opinion of Political Candidates by News Analysis,
L08-1493,1.0,1.0,1.0,,,Building Mobile Spoken Dialogue Applications Using Regulus,Building Mobile Spoken Dialogue Applications Using Regulus
W10-3604,0.0,0.0,0.0,Proceedings of the 1st Workshop on South and Southeast Asian Natural Language Processing ( WSSANLP ) ,,A Paradigm-Based Finite State Morphological Analyzer for Marathi,A Paradigm-Based Finite State Morphological Analyzer for Marathi,Proceedings of the 1st Workshop on South and Southeast Asian Natural Language Processing ( WSSANLP ) ,
W04-1310,-1,0.0,-1,,On A Possible Role For Pronouns In The Acquisition Of Verbs,On A Possible Role For Pronouns In The Acquisition Of Verbs,
P12-2003,-1,0.0,-1,,A Comparison of Chinese Parsers for Stanford Dependencies,A Comparison of Chinese Parsers for Stanford Dependencies,
L08-1113,-1,0.0,-1,,Using Parsed Corpora for Estimating Stochastic Inversion Transduction Grammars,Using Parsed Corpora for Estimating Stochastic Inversion Transduction Grammars,
W97-0314,0.0,0.0,0.0,Inducing Terminology for Lexical Acquisition,Inducing Terminology For Lexical Acquisition,Inducing Terminology For Lexical Acquisition,Inducing Terminology for Lexical Acquisition
L08-1474,0.0,0.0,0.0,A Real - World Emotional Speech Corpus for Modern Greek,A Real-World Emotional Speech Corpus for Modern Greek,A Real-World Emotional Speech Corpus for Modern Greek,A Real - World Emotional Speech Corpus for Modern Greek
P13-4022,-1,0.0,-1,,Fluid Construction Grammar for Historical and Evolutionary Linguistics,Fluid Construction Grammar for Historical and Evolutionary Linguistics,
P12-2024,-1,0.0,-1,,Detecting Semantic Equivalence and Information Disparity in Cross-lingual Documents,Detecting Semantic Equivalence and Information Disparity in Cross-lingual Documents,
W10-1826,0.0,0.0,0.0,GF OBJ INDX ROLE,From Descriptive Annotation to Grammar Specification,From Descriptive Annotation to Grammar Specification,GF OBJ INDX ROLE
P83-1006,-1,0.0,-1,,A Modal Temporal Logic For Reasoning About Change,A Modal Temporal Logic For Reasoning About Change,
W05-1008,-1,0.0,-1,,Bootstrapping Deep Lexical Resources: Resources For Courses,Bootstrapping Deep Lexical Resources: Resources For Courses,
P08-3004,-1,0.0,-1,,Combining Source and Target Language Information for Name Tagging of Machine Translation Output,Combining Source and Target Language Information for Name Tagging of Machine Translation Output,
H01-1038,-1,0.0,-1,,Integrated Feasibility Experiment For Bio-Security: IFE-Bio, A TIDES Demonstration,Integrated Feasibility Experiment For Bio-Security: IFE-Bio, A TIDES Demonstration,
S13-2009,0.0,0.0,0.0,Second Joint Conference on Lexical and Computational Semantics ( * SEM ) , Volume 2 : Seventh International Workshop on Semantic Evaluation ( SemEval,ManTIME: Temporal expression identification and normalization in the TempEval-3 challenge,ManTIME: Temporal expression identification and normalization in the TempEval-3 challenge,Second Joint Conference on Lexical and Computational Semantics ( * SEM ) , Volume 2 : Seventh International Workshop on Semantic Evaluation ( SemEval
P03-1010,0.0,0.0,0.0,Reliable Measures for Aligning Japanese - English News Articles,Reliable Measures For Aligning Japanese-English News Articles And Sentences,Reliable Measures For Aligning Japanese-English News Articles And Sentences,Reliable Measures for Aligning Japanese - English News Articles
S13-2087,-1,0.0,-1,,sielers : Feature Analysis and Polarity Classification of Expressions from Twitter and SMS Data,sielers : Feature Analysis and Polarity Classification of Expressions from Twitter and SMS Data,
W07-1409,-1,0.0,-1,,On the Role of Lexical and World Knowledge in RTE3,On the Role of Lexical and World Knowledge in RTE3,
W11-0612,-1,0.0,-1,,A Survival Analysis of Fixation Times in Reading,A Survival Analysis of Fixation Times in Reading,
P11-2112,0.0,0.0,0.0,Condensed Feature Representations from Large Unsupervised Data Sets for Supervised,Learning Condensed Feature Representations from Large Unsupervised Data Sets for Supervised Learning,Learning Condensed Feature Representations from Large Unsupervised Data Sets for Supervised Learning,Condensed Feature Representations from Large Unsupervised Data Sets for Supervised
D10-1031,-1,0.0,-1,,Automatic Discovery of Manner Relations and its Applications,Automatic Discovery of Manner Relations and its Applications,
W07-0312,-1,0.0,-1,,WIRE: A Wearable Spoken Language Understanding System for the Military,WIRE: A Wearable Spoken Language Understanding System for the Military,
S13-1020,-1,0.0,-1,,UPC-CORE: What Can Machine Translation Evaluation Metrics and Wikipedia Do for Estimating Semantic Textual Similarity?,UPC-CORE: What Can Machine Translation Evaluation Metrics and Wikipedia Do for Estimating Semantic Textual Similarity?,
W10-3216,0.0,0.0,0.0,Asian Federation for Natural Language Processing A Preliminary Work on Causative Verbs in Hindi Rafiya,A Preliminary Work on Hindi Causatives,A Preliminary Work on Hindi Causatives,Asian Federation for Natural Language Processing A Preliminary Work on Causative Verbs in Hindi Rafiya
J03-1006,-1,0.0,-1,,Weighted Deductive Parsing And Knuth's Algorithm,Weighted Deductive Parsing And Knuth's Algorithm,
C02-1014,0.0,0.0,0.0,Semiautomatic labelling of semantic features,Semiautomatic Labelling Of Semantic Features,Semiautomatic Labelling Of Semantic Features,Semiautomatic labelling of semantic features
N10-1144,-1,0.0,-1,,Reformulating Discourse Connectives for Non-Expert Readers,Reformulating Discourse Connectives for Non-Expert Readers,
W10-3803,-1,0.0,-1,,Source-side Syntactic Reordering Patterns with Functional Words for Improved Phrase-based SMT,Source-side Syntactic Reordering Patterns with Functional Words for Improved Phrase-based SMT,
C02-2022,-1,0.0,-1,,Cross Linguistic Phoneme Correspondences,Cross Linguistic Phoneme Correspondences,
W10-1731,-1,0.0,-1,,UCH-UPV English–Spanish System for WMT10,UCH-UPV English–Spanish System for WMT10,
P01-1031,-1,0.0,-1,,Resolving Ellipsis In Clarification,Resolving Ellipsis In Clarification,
P10-2014,-1,0.0,-1,,Correcting Errors in a Treebank Based on Synchronous Tree Substitution Grammar,Correcting Errors in a Treebank Based on Synchronous Tree Substitution Grammar,
S12-1007,-1,0.0,-1,,Could you make me a favour and do coffee, please?: Implications for Automatic Error Correction in English and Dutch,Could you make me a favour and do coffee, please?: Implications for Automatic Error Correction in English and Dutch,
D13-1194,-1,0.0,-1,,Detection of Product Comparisons - How Far Does an Out-of-the-Box Semantic Role Labeling System Take You?,Detection of Product Comparisons - How Far Does an Out-of-the-Box Semantic Role Labeling System Take You?,
D09-1002,-1,0.0,-1,,Graph Alignment for Semi-Supervised Semantic Role Labeling,Graph Alignment for Semi-Supervised Semantic Role Labeling,
H91-1017,0.0,0.0,0.0,USING SEMANTICS TO CORRECT PARSER OUTPUT FOR,Using Semantics To Correct Parser Output For ATIS Utterances,Using Semantics To Correct Parser Output For ATIS Utterances,USING SEMANTICS TO CORRECT PARSER OUTPUT FOR
P11-4012,-1,0.0,-1,,An Interactive Machine Translation System with Online Learning,An Interactive Machine Translation System with Online Learning,
P10-1005,-1,0.0,-1,,Identifying Generic Noun Phrases,Identifying Generic Noun Phrases,
W09-1602,-1,0.0,-1,,Speech Retrieval in Unknown Languages: a Pilot Study,Speech Retrieval in Unknown Languages: a Pilot Study,
