id,Precision,Recall,F1,FalsePositives,FalseNegatives,Truth,Predicted
E89-1007,0.0,0.0,0.0,on the generative power of two level,on the generative power of two level morphological rules,on the generative power of two level morphological rules,on the generative power of two level
W11-2037,-1,0.0,-1,,error return plots,error return plots,
P10-1050,-1,0.0,-1,,efficient staggered decoding for sequence labeling,efficient staggered decoding for sequence labeling,
W02-0708,-1,0.0,-1,,balancing expressiveness and simplicity in an interlingua for task based dialogue,balancing expressiveness and simplicity in an interlingua for task based dialogue,
P13-1083,-1,0.0,-1,,part of speech induction in dependency trees for statistical machine translation,part of speech induction in dependency trees for statistical machine translation,
N12-1077,-1,0.0,-1,,measuring word relatedness using heterogeneous vector space models,measuring word relatedness using heterogeneous vector space models,
W05-1202,-1,0.0,-1,,the distributional similarity of sub parses,the distributional similarity of sub parses,
W09-3415,-1,0.0,-1,,part of speech tagging for mongolian corpus,part of speech tagging for mongolian corpus,
H91-1021,1.0,1.0,1.0,,,augmented role filling capabilities for semantic interpretation of spoken language,augmented role filling capabilities for semantic interpretation of spoken language
P94-1003,1.0,1.0,1.0,,,priority union and generalization in discourse grammars,priority union and generalization in discourse grammars
W06-1515,-1,0.0,-1,,constraint based computational semantics a comparison between ltag and lrs,constraint based computational semantics a comparison between ltag and lrs,
C10-1050,-1,0.0,-1,,hierarchical phrase based machine translation with word based reordering model,hierarchical phrase based machine translation with word based reordering model,
P09-1025,-1,0.0,-1,,learning to tell tales a data driven approach to story generation,learning to tell tales a data driven approach to story generation,
P06-2125,-1,0.0,-1,,an hmm based approach to automatic phrasing for mandarin text to speech synthesis,an hmm based approach to automatic phrasing for mandarin text to speech synthesis,
L08-1554,0.0,0.0,0.0,a linguistic resource for discovering event structures and resolving event,a linguistic resource for discovering event structures and resolving event coreference,a linguistic resource for discovering event structures and resolving event coreference,a linguistic resource for discovering event structures and resolving event
W08-0125,-1,0.0,-1,,modelling and detecting decisions in multi party dialogue,modelling and detecting decisions in multi party dialogue,
W03-0418,-1,0.0,-1,,identifying events using similarity and context,identifying events using similarity and context,
I05-1049,0.0,0.0,0.0,relative compositionality of multi word expressions a study of verb noun v n collocations sriram,relative compositionality of multi word expressions a study of verb noun v n collocations,relative compositionality of multi word expressions a study of verb noun v n collocations,relative compositionality of multi word expressions a study of verb noun v n collocations sriram
C10-1034,-1,0.0,-1,,an empirical study on learning to rank of tweets,an empirical study on learning to rank of tweets,
W07-2062,-1,0.0,-1,,rtv tree kernels for thematic role classification,rtv tree kernels for thematic role classification,
L08-1229,-1,0.0,-1,,bootstrapping language description the case of mpiemo bantu a central african republic,bootstrapping language description the case of mpiemo bantu a central african republic,
D13-1035,-1,0.0,-1,,grounding strategic conversation using negotiation dialogues to predict trades in a win lose game,grounding strategic conversation using negotiation dialogues to predict trades in a win lose game,
W04-1313,-1,0.0,-1,,combining utterance boundary and predictability approaches to speech segmentation,combining utterance boundary and predictability approaches to speech segmentation,
W07-0720,-1,0.0,-1,,ngram based statistical machine translation enhanced with multiple weighted reordering hypotheses,ngram based statistical machine translation enhanced with multiple weighted reordering hypotheses,
P13-2013,-1,0.0,-1,,aggregated word pair features for implicit discourse relation disambiguation,aggregated word pair features for implicit discourse relation disambiguation,
W06-1627,-1,0.0,-1,,efficient search for inversion transduction grammar,efficient search for inversion transduction grammar,
W05-1302,-1,0.0,-1,,adaptive string similarity metrics for biomedical reference resolution,adaptive string similarity metrics for biomedical reference resolution,
W10-4332,-1,0.0,-1,,enhanced monitoring tools and online dialogue optimisation merged into a new spoken dialogue system design experience,enhanced monitoring tools and online dialogue optimisation merged into a new spoken dialogue system design experience,
W12-2402,-1,0.0,-1,,bootstrapping biomedical ontologies for scientific text using nell,bootstrapping biomedical ontologies for scientific text using nell,
W01-0714,-1,0.0,-1,,distributional phrase structure induction,distributional phrase structure induction,
L08-1159,-1,0.0,-1,,coding emotional events in audiovisual corpora,coding emotional events in audiovisual corpora,
W06-1521,-1,0.0,-1,,parsing tag with abstract categorial grammar,parsing tag with abstract categorial grammar,
W08-1605,-1,0.0,-1,,personalized interactive question answering on the web,personalized interactive question answering on the web,
C04-1196,-1,0.0,-1,,understanding students explanations in geometry tutoring,understanding students explanations in geometry tutoring,
P02-1064,-1,0.0,-1,,an empirical study of active learning with support vector machines forjapanese word segmentation,an empirical study of active learning with support vector machines forjapanese word segmentation,
D11-1048,-1,0.0,-1,,a generative model for unsupervised discovery of relations and argument classes from clinical texts,a generative model for unsupervised discovery of relations and argument classes from clinical texts,
W09-2506,-1,0.0,-1,,ranking paraphrases in context,ranking paraphrases in context,
C90-1019,-1,0.0,-1,,deep sentence understanding in a restricted domain,deep sentence understanding in a restricted domain,
S10-1050,-1,0.0,-1,,ecnu effective semantic relations classification without complicated features or multiple external corpora,ecnu effective semantic relations classification without complicated features or multiple external corpora,
W12-6209,-1,0.0,-1,,kleene a free and open source language for finite state programming,kleene a free and open source language for finite state programming,
H91-1028,0.0,0.0,0.0,field test evaluations and optimization of speaker independent speech recognition for telephone,field test evaluations and optimization of speaker independent speech recognition for telephone applications,field test evaluations and optimization of speaker independent speech recognition for telephone applications,field test evaluations and optimization of speaker independent speech recognition for telephone
W05-1517,-1,0.0,-1,,efficient extraction of grammatical relations,efficient extraction of grammatical relations,
E95-1031,1.0,1.0,1.0,,,a robust parser based on syntactic information,a robust parser based on syntactic information
W07-1705,-1,0.0,-1,,automatic processing of diabetic patients hospital documentation,automatic processing of diabetic patients hospital documentation,
P03-2031,0.0,0.0,0.0,automatic acquisition of named entity tagged corpus from world,automatic acquisition of named entity tagged corpus from world wide web,automatic acquisition of named entity tagged corpus from world wide web,automatic acquisition of named entity tagged corpus from world
W10-2910,-1,0.0,-1,,syntactic and semantic structure for opinion expression detection,syntactic and semantic structure for opinion expression detection,
P13-2151,-1,0.0,-1,,does korean defeat phonotactic word segmentation,does korean defeat phonotactic word segmentation,
S12-1087,-1,0.0,-1,,uniba distributional semantics for textual similarity,uniba distributional semantics for textual similarity,
W06-1504,-1,0.0,-1,,the weak generative capacity of linear tree adjoining grammars,the weak generative capacity of linear tree adjoining grammars,
W04-2113,-1,0.0,-1,,morphological interfaces to dictionaries,morphological interfaces to dictionaries,
P00-1065,-1,0.0,-1,,automatic labeling of semantic roles,automatic labeling of semantic roles,
W10-3105,-1,0.0,-1,,speculation and negation annotation in natural language texts what the case of bioscope might not reveal,speculation and negation annotation in natural language texts what the case of bioscope might not reveal,
P06-4016,-1,0.0,-1,,twicpen hand held scanner and translation software for non native readers,twicpen hand held scanner and translation software for non native readers,
P13-1134,-1,0.0,-1,,framenet on the way to babel creating a bilingual framenet using wiktionary as interlingual connection,framenet on the way to babel creating a bilingual framenet using wiktionary as interlingual connection,
W04-2807,0.0,0.0,0.0,different sense granularities for different,different sense granularities for different applications,different sense granularities for different applications,different sense granularities for different
W06-2911,-1,0.0,-1,,applying alternating structure optimization to word sense disambiguation,applying alternating structure optimization to word sense disambiguation,
H94-1068,0.0,0.0,0.0,viicrophone arrays and neural networks for robust speech,microphone arrays and neural networks for robust speech recognition,microphone arrays and neural networks for robust speech recognition,viicrophone arrays and neural networks for robust speech
W93-0114,-1,0.0,-1,,categorization and standardizing proper nouns for efficient information retrieval,categorization and standardizing proper nouns for efficient information retrieval,
P98-2151,0.0,0.0,0.0,automatic text summarization based on the global document,automatic text summarization based on the global document annotation,automatic text summarization based on the global document annotation,automatic text summarization based on the global document
N12-2006,-1,0.0,-1,,choosing an evaluation metric for parser design,choosing an evaluation metric for parser design,
W09-3953,-1,0.0,-1,,contrasting the interaction structure of an email and a telephone corpus a machine learning approach to annotation of dialogue function units,contrasting the interaction structure of an email and a telephone corpus a machine learning approach to annotation of dialogue function units,
L08-1502,0.0,0.0,0.0,combining multiple models for speech information retrieval muath alzghool,alc alcohol language corpus,alc alcohol language corpus,combining multiple models for speech information retrieval muath alzghool
C00-2098,-1,0.0,-1,,a context sensitive model for probabilistic lr parsing of spoken language with transformation based postprocessing,a context sensitive model for probabilistic lr parsing of spoken language with transformation based postprocessing,
P11-2061,-1,0.0,-1,,temporal evaluation,temporal evaluation,
W12-1620,-1,0.0,-1,,a mixed initiative conversational dialogue system for healthcare,a mixed initiative conversational dialogue system for healthcare,
P12-2042,-1,0.0,-1,,towards the unsupervised acquisition of discourse relations,towards the unsupervised acquisition of discourse relations,
D10-1019,0.0,0.0,0.0,and decoding using virtual nodes for cascaded segmentation and tagging tasks xian qian,joint training and decoding using virtual nodes for cascaded segmentation and tagging tasks,joint training and decoding using virtual nodes for cascaded segmentation and tagging tasks,and decoding using virtual nodes for cascaded segmentation and tagging tasks xian qian
E93-1027,-1,0.0,-1,,linguistic knowledge acquisition from parsing failures,linguistic knowledge acquisition from parsing failures,
W08-0707,-1,0.0,-1,,phonotactic probability and the maori passive a computational approach,phonotactic probability and the maori passive a computational approach,
W97-0121,-1,0.0,-1,,collocation lattices and maximum entropy models,collocation lattices and maximum entropy models,
J07-4003,0.0,0.0,0.0,weighted and probabilistic context free grammars are,weighted and probabilistic context free grammars are equally expressive,weighted and probabilistic context free grammars are equally expressive,weighted and probabilistic context free grammars are
W05-0807,-1,0.0,-1,,induction of fine grained part of speech taggers via classifier combination and crosslingual projection,induction of fine grained part of speech taggers via classifier combination and crosslingual projection,
W04-2008,1.0,1.0,1.0,,,an algorithm for open text semantic parsing,an algorithm for open text semantic parsing
P06-1013,-1,0.0,-1,,ensemble methods for unsupervised wsd,ensemble methods for unsupervised wsd,
P01-1061,-1,0.0,-1,,computational properties of environment based disambiguation,computational properties of environment based disambiguation,
N13-2004,-1,0.0,-1,,a rule based approach for karmina generation,a rule based approach for karmina generation,
E12-2014,-1,0.0,-1,,a support platform for event detection using social intelligence,a support platform for event detection using social intelligence,
W08-0614,-1,0.0,-1,,a pilot annotation to investigate discourse connectivity in biomedical text,a pilot annotation to investigate discourse connectivity in biomedical text,
P12-1045,-1,0.0,-1,,fast online lexicon learning for grounded language acquisition,fast online lexicon learning for grounded language acquisition,
C08-1060,-1,0.0,-1,,reading the markets forecasting public opinion of political candidates by news analysis,reading the markets forecasting public opinion of political candidates by news analysis,
L08-1493,1.0,1.0,1.0,,,building mobile spoken dialogue applications using regulus,building mobile spoken dialogue applications using regulus
W10-3604,0.0,0.0,0.0,proceedings of the 1st workshop on south and southeast asian natural language processing wssanlp,a paradigm based finite state morphological analyzer for marathi,a paradigm based finite state morphological analyzer for marathi,proceedings of the 1st workshop on south and southeast asian natural language processing wssanlp
W04-1310,-1,0.0,-1,,on a possible role for pronouns in the acquisition of verbs,on a possible role for pronouns in the acquisition of verbs,
P12-2003,-1,0.0,-1,,a comparison of chinese parsers for stanford dependencies,a comparison of chinese parsers for stanford dependencies,
L08-1113,-1,0.0,-1,,using parsed corpora for estimating stochastic inversion transduction grammars,using parsed corpora for estimating stochastic inversion transduction grammars,
W97-0314,1.0,1.0,1.0,,,inducing terminology for lexical acquisition,inducing terminology for lexical acquisition
L08-1474,1.0,1.0,1.0,,,a real world emotional speech corpus for modern greek,a real world emotional speech corpus for modern greek
P13-4022,-1,0.0,-1,,fluid construction grammar for historical and evolutionary linguistics,fluid construction grammar for historical and evolutionary linguistics,
P12-2024,-1,0.0,-1,,detecting semantic equivalence and information disparity in cross lingual documents,detecting semantic equivalence and information disparity in cross lingual documents,
W10-1826,0.0,0.0,0.0,gf obj indx role,from descriptive annotation to grammar specification,from descriptive annotation to grammar specification,gf obj indx role
P83-1006,-1,0.0,-1,,a modal temporal logic for reasoning about change,a modal temporal logic for reasoning about change,
W05-1008,-1,0.0,-1,,bootstrapping deep lexical resources resources for courses,bootstrapping deep lexical resources resources for courses,
P08-3004,-1,0.0,-1,,combining source and target language information for name tagging of machine translation output,combining source and target language information for name tagging of machine translation output,
H01-1038,-1,0.0,-1,,integrated feasibility experiment for bio security ife bio a tides demonstration,integrated feasibility experiment for bio security ife bio a tides demonstration,
S13-2009,0.0,0.0,0.0,second joint conference on lexical and computational semantics sem volume 2 seventh international workshop on semantic evaluation semeval,mantime temporal expression identification and normalization in the tempeval 3 challenge,mantime temporal expression identification and normalization in the tempeval 3 challenge,second joint conference on lexical and computational semantics sem volume 2 seventh international workshop on semantic evaluation semeval
P03-1010,0.0,0.0,0.0,reliable measures for aligning japanese english news articles,reliable measures for aligning japanese english news articles and sentences,reliable measures for aligning japanese english news articles and sentences,reliable measures for aligning japanese english news articles
S13-2087,-1,0.0,-1,,sielers feature analysis and polarity classification of expressions from twitter and sms data,sielers feature analysis and polarity classification of expressions from twitter and sms data,
W07-1409,-1,0.0,-1,,on the role of lexical and world knowledge in rte3,on the role of lexical and world knowledge in rte3,
W11-0612,-1,0.0,-1,,a survival analysis of fixation times in reading,a survival analysis of fixation times in reading,
P11-2112,0.0,0.0,0.0,condensed feature representations from large unsupervised data sets for supervised,learning condensed feature representations from large unsupervised data sets for supervised learning,learning condensed feature representations from large unsupervised data sets for supervised learning,condensed feature representations from large unsupervised data sets for supervised
D10-1031,-1,0.0,-1,,automatic discovery of manner relations and its applications,automatic discovery of manner relations and its applications,
W07-0312,-1,0.0,-1,,wire a wearable spoken language understanding system for the military,wire a wearable spoken language understanding system for the military,
S13-1020,-1,0.0,-1,,upc core what can machine translation evaluation metrics and wikipedia do for estimating semantic textual similarity,upc core what can machine translation evaluation metrics and wikipedia do for estimating semantic textual similarity,
W10-3216,0.0,0.0,0.0,asian federation for natural language processing a preliminary work on causative verbs in hindi rafiya,a preliminary work on hindi causatives,a preliminary work on hindi causatives,asian federation for natural language processing a preliminary work on causative verbs in hindi rafiya
J03-1006,-1,0.0,-1,,weighted deductive parsing and knuth s algorithm,weighted deductive parsing and knuth s algorithm,
C02-1014,1.0,1.0,1.0,,,semiautomatic labelling of semantic features,semiautomatic labelling of semantic features
N10-1144,-1,0.0,-1,,reformulating discourse connectives for non expert readers,reformulating discourse connectives for non expert readers,
W10-3803,-1,0.0,-1,,source side syntactic reordering patterns with functional words for improved phrase based smt,source side syntactic reordering patterns with functional words for improved phrase based smt,
C02-2022,-1,0.0,-1,,cross linguistic phoneme correspondences,cross linguistic phoneme correspondences,
W10-1731,-1,0.0,-1,,uch upv english–spanish system for wmt10,uch upv english–spanish system for wmt10,
P01-1031,-1,0.0,-1,,resolving ellipsis in clarification,resolving ellipsis in clarification,
P10-2014,-1,0.0,-1,,correcting errors in a treebank based on synchronous tree substitution grammar,correcting errors in a treebank based on synchronous tree substitution grammar,
S12-1007,-1,0.0,-1,,could you make me a favour and do coffee please implications for automatic error correction in english and dutch,could you make me a favour and do coffee please implications for automatic error correction in english and dutch,
D13-1194,-1,0.0,-1,,detection of product comparisons how far does an out of the box semantic role labeling system take you,detection of product comparisons how far does an out of the box semantic role labeling system take you,
D09-1002,-1,0.0,-1,,graph alignment for semi supervised semantic role labeling,graph alignment for semi supervised semantic role labeling,
H91-1017,0.0,0.0,0.0,using semantics to correct parser output for,using semantics to correct parser output for atis utterances,using semantics to correct parser output for atis utterances,using semantics to correct parser output for
P11-4012,-1,0.0,-1,,an interactive machine translation system with online learning,an interactive machine translation system with online learning,
P10-1005,-1,0.0,-1,,identifying generic noun phrases,identifying generic noun phrases,
W09-1602,-1,0.0,-1,,speech retrieval in unknown languages a pilot study,speech retrieval in unknown languages a pilot study,
P07-1085,0.0,0.0,0.0,language model adaptation incorporating named entity information,unsupervised language model adaptation incorporating named entity information,unsupervised language model adaptation incorporating named entity information,language model adaptation incorporating named entity information
D12-1023,-1,0.0,-1,,minimal dependency length in realization ranking,minimal dependency length in realization ranking,
P13-1118,-1,0.0,-1,,derivbase inducing and evaluating a derivational morphology resource for german,derivbase inducing and evaluating a derivational morphology resource for german,
D13-1132,-1,0.0,-1,,mining new business opportunities identifying trend related products by leveraging commercial intents from microblogs,mining new business opportunities identifying trend related products by leveraging commercial intents from microblogs,
J06-2005,0.0,0.0,0.0,consistent validation of manual and automatic sense annotations with the aid of semantic,squibs consistent validation of manual and automatic sense annotations with the aid of semantic graphs,squibs consistent validation of manual and automatic sense annotations with the aid of semantic graphs,consistent validation of manual and automatic sense annotations with the aid of semantic
E93-1038,-1,0.0,-1,,formal properties of metrical structure,formal properties of metrical structure,
P07-1107,-1,0.0,-1,,unsupervised coreference resolution in a nonparametric bayesian model,unsupervised coreference resolution in a nonparametric bayesian model,
N09-2058,-1,0.0,-1,,determining the position of adverbial phrases in english,determining the position of adverbial phrases in english,
P10-1092,-1,0.0,-1,,string extension learning,string extension learning,
I05-1079,0.0,0.0,0.0,exploiting lexical conceptual structure for paraphrase generation atsushi fujita1,exploiting lexical conceptual structure for paraphrase generation,exploiting lexical conceptual structure for paraphrase generation,exploiting lexical conceptual structure for paraphrase generation atsushi fujita1
P84-1051,1.0,1.0,1.0,,,machine translation what type of post editing on what type of documents for what type of users,machine translation what type of post editing on what type of documents for what type of users
W10-4331,-1,0.0,-1,,non humanlike spoken dialogue a design perspective,non humanlike spoken dialogue a design perspective,
L08-1060,0.0,0.0,0.0,babylon parallel text builder gathering parallel texts for low density,babylon parallel text builder gathering parallel texts for low density languages,babylon parallel text builder gathering parallel texts for low density languages,babylon parallel text builder gathering parallel texts for low density
W10-4106,-1,0.0,-1,,semantic class induction and its application for a chinese voice search system,semantic class induction and its application for a chinese voice search system,
E89-1018,-1,0.0,-1,,collocations in multilingual generation,collocations in multilingual generation,
W04-1506,-1,0.0,-1,,towards a dependency parser for basque,towards a dependency parser for basque,
P09-2033,-1,0.0,-1,,english chinese bi directional oov translation based on web mining and supervised learning,english chinese bi directional oov translation based on web mining and supervised learning,
W13-1732,-1,0.0,-1,,using n gram and word network features for native language identification,using n gram and word network features for native language identification,
W12-4302,-1,0.0,-1,,identifying claimed knowledge updates in biomedical research articles,identifying claimed knowledge updates in biomedical research articles,
N09-1001,0.0,0.0,0.0,recognition on word senses via semi supervised mincuts,subjectivity recognition on word senses via semi supervised mincuts,subjectivity recognition on word senses via semi supervised mincuts,recognition on word senses via semi supervised mincuts
N06-2032,-1,0.0,-1,,story segmentation of broadcast news in english mandarin and arabic,story segmentation of broadcast news in english mandarin and arabic,
C10-3009,-1,0.0,-1,,a high performance syntactic and semantic dependency parser,a high performance syntactic and semantic dependency parser,
H05-1113,-1,0.0,-1,,measuring the relative compositionality of verb noun v n collocations by integrating features,measuring the relative compositionality of verb noun v n collocations by integrating features,
W10-3306,0.0,0.0,0.0,intrinsic property based taxonomic relation extraction from category structure donghyun choi and,intrinsic property based taxonomic relation extraction from category structure,intrinsic property based taxonomic relation extraction from category structure,intrinsic property based taxonomic relation extraction from category structure donghyun choi and
C10-2151,-1,0.0,-1,,search with synonyms problems and solutions,search with synonyms problems and solutions,
W11-1415,-1,0.0,-1,,readability annotation replacing the expert by the crowd,readability annotation replacing the expert by the crowd,
P05-1043,-1,0.0,-1,,learning stochastic ot grammars a bayesian approach using data augmentation and gibbs sampling,learning stochastic ot grammars a bayesian approach using data augmentation and gibbs sampling,
P00-1076,-1,0.0,-1,,panel good spelling of vietnamese texts one aspect of computational linguistics in vietnam,panel good spelling of vietnamese texts one aspect of computational linguistics in vietnam,
P98-2162,0.0,0.0,0.0,improving statistical natural language translation with categories,improving statistical natural language translation with categories and rules,improving statistical natural language translation with categories and rules,improving statistical natural language translation with categories
D08-1071,-1,0.0,-1,,cross task knowledge constrained self training,cross task knowledge constrained self training,
P06-2046,-1,0.0,-1,,japanese idiom recognition drawing a line between literal and idiomatic meanings,japanese idiom recognition drawing a line between literal and idiomatic meanings,
W05-1604,-1,0.0,-1,,real time stochastic language generation for dialogue systems,real time stochastic language generation for dialogue systems,
I08-1051,-1,0.0,-1,,formalising multi layer corpora in owl dl lexicon modelling querying and consistency control,formalising multi layer corpora in owl dl lexicon modelling querying and consistency control,
W13-2120,-1,0.0,-1,,generation of quantified referring expressions evidence from experimental data,generation of quantified referring expressions evidence from experimental data,
N07-1038,-1,0.0,-1,,multiple aspect ranking using the good grief algorithm,multiple aspect ranking using the good grief algorithm,
P11-1105,-1,0.0,-1,,a joint sequence translation model with integrated reordering,a joint sequence translation model with integrated reordering,
I08-1037,1.0,1.0,1.0,,,learning patterns from the web to translate named entities for cross language information retrieval,learning patterns from the web to translate named entities for cross language information retrieval
H01-1072,0.0,0.0,0.0,a similarity based chunk parser for robust,tusbl a similarity based chunk parser for robust syntactic processing,tusbl a similarity based chunk parser for robust syntactic processing,a similarity based chunk parser for robust
W08-1406,-1,0.0,-1,,mixed source multi document speech to text summarization,mixed source multi document speech to text summarization,
W11-0419,-1,0.0,-1,,increasing informativeness in temporal annotation,increasing informativeness in temporal annotation,
C65-1019,-1,0.0,-1,,pushdown stores and subscripts,pushdown stores and subscripts,
W12-2514,-1,0.0,-1,,towards a computational approach to literary text analysis,towards a computational approach to literary text analysis,
C08-1059,-1,0.0,-1,,stopping criteria for active learning of named entity recognition,stopping criteria for active learning of named entity recognition,
H05-1029,-1,0.0,-1,,error handling in the ravenclaw dialog management architecture,error handling in the ravenclaw dialog management architecture,
P89-1023,0.0,0.0,0.0,computer aided interpretation of lexical,computer aided interpretation of lexical cooccurrences,computer aided interpretation of lexical cooccurrences,computer aided interpretation of lexical
W12-3126,-1,0.0,-1,,ccg syntactic reordering models for phrase based machine translation,ccg syntactic reordering models for phrase based machine translation,
N06-4009,-1,0.0,-1,,sconeedit a text guided domain knowledge editor,sconeedit a text guided domain knowledge editor,
W04-2012,1.0,1.0,1.0,,,answer validation by keyword association,answer validation by keyword association
W13-2715,-1,0.0,-1,,multilingual access to cultural heritage content on the semantic web,multilingual access to cultural heritage content on the semantic web,
N09-1042,0.0,0.0,0.0,human language technologies the 2009,global models of document structure using latent permutations,global models of document structure using latent permutations,human language technologies the 2009
W05-0634,-1,0.0,-1,,semantic role chunking combining complementary syntactic views,semantic role chunking combining complementary syntactic views,
L08-1519,-1,0.0,-1,,speech errors on frequently observed homophones in french perceptual evaluation vs automatic classification,speech errors on frequently observed homophones in french perceptual evaluation vs automatic classification,
W04-3103,-1,0.0,-1,,the language of bioscience facts speculations and statements in between,the language of bioscience facts speculations and statements in between,
W13-2217,-1,0.0,-1,,feature rich phrase based translation stanford university s submission to the wmt 2013 translation task,feature rich phrase based translation stanford university s submission to the wmt 2013 translation task,
